fecha,inflacion,expectativa,meta_inflacion,a0_t,a_t,b_t,c0_t,c_t,d_t,lambda_t,lambda_se,pi_estrella_t,pi_estrella_se,lambda_li_95,lambda_ls_95,pi_estrella_li_95,pi_estrella_ls_95,lambda_fuera_0_1,lambda_significativamente_menor_1,lambda_no_distinta_de_1,brecha_ancla_meta,ancla_dentro_banda_meta
2017-12-01,5.68,4.56,4,5.05897614486587,0.24446783241971384,-0.11350545981019372,2.8042026516342093,0.133029639743696,0.2519833119625062,0.8221568557611806,0.0329867309610753,4.559775135775798,0.11357940907523086,0.7575040511097607,0.8868096604126005,4.337163584603004,4.782386686948592,FALSE,TRUE,FALSE,0.5597751357757978,TRUE
2018-01-01,4.71,4.71,4,3.9525243301357595,0.2244827532518741,-0.11350578258850141,2.80616146065015,0.13210934910690433,0.25198331196828516,0.8233871633873187,0.03278898468998397,4.556142268979723,0.11308504193029965,0.7591219343053148,0.8876523924693225,4.334499659606134,4.777784878353312,FALSE,TRUE,FALSE,0.5561422689797233,TRUE
2018-02-01,4.15,4.56,4,3.6486249005285334,0.2199549659433972,-0.11350590023790738,2.8076708391992398,0.1311670862471128,0.2519833119733632,0.8246468449879798,0.03276230113081653,4.5516294913695425,0.11341952065018826,0.7604339147209236,0.888859775255036,4.329331315751377,4.773927666987708,FALSE,TRUE,FALSE,0.5516294913695425,TRUE
2018-03-01,4.14,4.62,4,3.7375292515287986,0.22170065473670353,-0.1135059141857774,2.814506868828793,0.13044076597889712,0.2519833119870223,0.8256178397230705,0.032762342734192984,4.557345531799207,0.1141589826568695,0.7614048279148947,0.8898308515312462,4.3335980372800105,4.781093026318404,FALSE,TRUE,FALSE,0.5573455317992071,TRUE
2018-04-01,3.92,4.46,4,3.536236356655117,0.21936265072552782,-0.11350600230680233,2.809620215576488,0.12929571167191978,0.25198331198239804,0.8271486268380188,0.03272813286212453,4.541013353338679,0.11466256102621704,0.763002665147013,0.8912945885290247,4.316278863352167,4.76574784332519,FALSE,TRUE,FALSE,0.5410133533386787,TRUE
2018-05-01,4.09,4.48,4,3.724085673022862,0.22248751041869888,-0.11350598965604483,2.8097300954287023,0.1283287033819991,0.2519833119856692,0.8284413898269333,0.03267967691212171,4.534104525353592,0.11531583022208645,0.7643904000527696,0.892492379601097,4.308089651270967,4.760119399436217,FALSE,TRUE,FALSE,0.5341045253535919,TRUE
2018-06-01,3.79,4.43,4,3.403399396235835,0.21885279958029388,-0.11350610413434739,2.8054230128545035,0.12721266535871834,0.2519833119822025,0.829933385983908,0.032601401513054074,4.519015519322964,0.11580303659335078,0.7660358131727923,0.8938309587950236,4.292045738299622,4.745985300346305,FALSE,TRUE,FALSE,0.5190155193229637,TRUE
2018-07-01,2.61,4.36,4,2.336385503852946,0.2048675131506625,-0.11350640602411166,2.8036217699577315,0.12618484178774836,0.25198331198257545,0.8313074510112949,0.032528133894063574,4.5086493832002965,0.11671997869824358,0.7675534800946336,0.8950614219279561,4.279882428675457,4.737416337725136,FALSE,TRUE,FALSE,0.5086493832002965,TRUE
2018-08-01,3.36,4.33,4,3.288943583941065,0.21683658088907154,-0.11350620643610887,2.8057051805849995,0.12528374098524311,0.25198331198883445,0.832512104351109,0.03243857453872675,4.505470914915645,0.11786925336684566,0.7689336665453866,0.8960905421568314,4.2744514234320015,4.736490406399289,FALSE,TRUE,FALSE,0.5054709149156453,TRUE
2018-09-01,4.55,4.32,4,4.27179322971022,0.22907373448892177,-0.11350599944529244,2.797742340311848,0.12415695259213266,0.251983311980112,0.834018472340778,0.032246980231745985,4.484569497650861,0.11688069467729542,0.7708155524763808,0.8972213922051752,4.25548754559534,4.713651449706383,FALSE,TRUE,FALSE,0.48456949765086144,TRUE
2018-10-01,4.34,4.32,4,3.8074062890766216,0.22482203334583384,-0.11350614370424841,2.788353618546925,0.12298892731306034,0.2519833119692778,0.8355799686276397,0.032003510890642795,4.461167637330725,0.11529858979093548,0.7728542399031445,0.898305697352135,4.235186553872234,4.6871487207892155,FALSE,TRUE,FALSE,0.46116763733072474,TRUE
2018-11-01,3.15,4.47,4,2.724489103008889,0.21102735207674214,-0.11350643773612867,2.790830253352354,0.12228558349170636,0.25198331197597545,0.8365202468747879,0.03184521024186291,4.460111113444276,0.11537681285278974,0.7741047817206306,0.8989357120289452,4.23397671560179,4.686245511286762,FALSE,TRUE,FALSE,0.4601111134442757,TRUE
2018-12-01,2.31,4.38,4,2.1715247698919242,0.20503166587594449,-0.11350660344350233,2.7872090584216336,0.12135445306846906,0.2519833119736632,0.8377650458726178,0.03173815561379652,4.44770548301674,0.11623956943829873,0.7755594039338489,0.8999706878113867,4.219880113339232,4.675530852694249,FALSE,TRUE,FALSE,0.4477054830167404,TRUE
2019-01-01,4.1,4.07,4,4.0767316677112895,0.22529233053352163,-0.11350615325360869,2.7750179455036905,0.12019096852815958,0.25198331195824863,0.8393204717894596,0.031566874121126125,4.420045020859669,0.11601248182318129,0.7774505354075429,0.9011904081713762,4.192664734729126,4.647425306990211,FALSE,TRUE,FALSE,0.42004502085966866,TRUE
2019-02-01,4.46,4.25,4,3.979510838082647,0.22986814005689532,-0.11350619467244139,2.771619450830297,0.1192023048871253,0.2519833119560062,0.8406421851378341,0.03128995326779023,4.4076909260818695,0.11391836909535938,0.7793150036550238,0.9019693666206443,4.184415025477424,4.630966826686315,FALSE,TRUE,FALSE,0.4076909260818695,TRUE
2019-03-01,4.17,4.35,4,3.6228673765754387,0.23083730456055293,-0.113506295273445,2.7718787921693555,0.11834272489712476,0.25198331195885565,0.8417913306091703,0.03102489071860013,4.4020857688463275,0.11254730851880669,0.7809836621764231,0.9025989990419175,4.1814970975925485,4.6226744401001065,FALSE,TRUE,FALSE,0.4020857688463275,TRUE
2019-04-01,4.75,4.3,4,4.217149537792439,0.24618760164417167,-0.1135061693452952,2.774237505134765,0.117563736053694,0.25198331196475676,0.8428327363090128,0.030806562354545142,4.400387842447529,0.11190672450094914,0.7824529836066169,0.9032124890114087,4.181054692797822,4.6197209920972355,FALSE,TRUE,FALSE,0.4003878424475289,TRUE
2019-05-01,4.54,4.39,4,3.85032449231021,0.24794789516955534,-0.1135062777589192,2.782767699996261,0.11700625482823251,0.25198331197984,0.8435780154344912,0.03059370123484679,4.410018525240227,0.11148062753735047,0.783615462860413,0.9035405680085694,4.191520510293096,4.628516540187358,FALSE,TRUE,FALSE,0.4100185252402273,TRUE
