definicion_sorpresa,pulso,modelo,parametro,estimacion,error_estandar,limite_inferior_95,limite_superior_95,estadistico_z,p_valor,significativo_5pct
Sorpresa exacta,TRUE,Beta TVP,alpha,0.04009432539303324,0.01658124055611212,0.007595691084058595,0.07259295970200788,2.4180534174961843,0.01560378597118074,TRUE
Sorpresa exacta,TRUE,Beta TVP,lambda_meta,0.031084116661210595,0.06995856419861818,-0.10603214957821423,0.16820038290063544,0.44432182131354503,0.6568099268221403,FALSE
Sorpresa exacta,TRUE,Beta TVP,gamma_expectativa_corta,-0.08155390334118506,0.05750840732784644,-0.1942683105120234,0.03116050382965327,-1.4181214039933154,0.15615532324012565,FALSE
Sorpresa exacta,TRUE,Beta TVP,rho_revision,-0.2510005700428876,0.06792052258280387,-0.3841223481163226,-0.11787879196945264,-3.6955041053591065,2.1945093411683783e-4,TRUE
Sorpresa exacta,TRUE,Beta TVP,delta_sep2012,0.6718322332224684,0.17162899923553757,0.33544557601816244,1.0082188904267744,3.9144447396122706,9.061248626837967e-5,TRUE
Sorpresa disponible,FALSE,Beta constante,alpha,0.042225265649509756,0.01704231558122161,0.008822940897149606,0.0756275904018699,2.4776718544067124,0.013224270620310386,TRUE
Sorpresa disponible,FALSE,Beta constante,lambda_meta,0.020528947621653897,0.07297286645676618,-0.12249524248225875,0.16355313772556654,0.28132302619380545,0.7784626508258411,FALSE
Sorpresa disponible,FALSE,Beta constante,gamma_expectativa_corta,-0.10458149897031854,0.06305981027250795,-0.22817645597636305,0.019013458035725947,-1.658449312143153,0.09722681038273812,FALSE
Sorpresa disponible,FALSE,Beta constante,beta_sorpresa,0.04080251192367236,0.01031605997999287,0.02058340590053135,0.06102161794681337,3.955241827093425,7.645727425487019e-5,TRUE
Sorpresa disponible,FALSE,Beta constante,rho_revision,-0.26384988135853316,0.0702051849049125,-0.4014495153001367,-0.12625024741692964,-3.7582677364342456,1.7109375399452172e-4,TRUE
Sorpresa disponible,FALSE,Beta TVP,alpha,0.0739342761968975,0.02046255831393008,0.03382839887004391,0.1140401535237511,3.6131491997540723,3.025005224988206e-4,TRUE
Sorpresa disponible,FALSE,Beta TVP,lambda_meta,0.12998417681386615,0.08170542989056763,-0.030155523113008786,0.2901238767407411,1.5908878637314654,0.11163481430742392,FALSE
Sorpresa disponible,FALSE,Beta TVP,gamma_expectativa_corta,-0.048088745896405,0.0679660185549882,-0.1812996944367629,0.0851222026439529,-0.7075410170966333,0.47923033240987234,FALSE
Sorpresa disponible,FALSE,Beta TVP,rho_revision,-0.2630544141074296,0.06873331949145427,-0.3977692448485648,-0.12833958336629434,-3.827174593831971,1.296225756227677e-4,TRUE
Sorpresa disponible,TRUE,Beta constante,alpha,0.04184174408418955,0.016431687503668333,0.009636228371782761,0.07404725979659635,2.546405783024323,0.010883858768222059,TRUE
Sorpresa disponible,TRUE,Beta constante,lambda_meta,0.008704524656389729,0.07042479667828985,-0.12932554045161437,0.14673458976439385,0.12360028096571146,0.9016317700146612,FALSE
Sorpresa disponible,TRUE,Beta constante,gamma_expectativa_corta,-0.11829521097871715,0.060904833263437624,-0.23766649065947193,0.0010760687020376497,-1.9422959499296766,0.05210128304719063,FALSE
Sorpresa disponible,TRUE,Beta constante,beta_sorpresa,0.045233304863563396,0.010013461149655034,0.02560728164964849,0.0648593280774783,4.517249748866474,6.264799927289641e-6,TRUE
Sorpresa disponible,TRUE,Beta constante,rho_revision,-0.23832235673666982,0.06801660502601545,-0.3716324529383461,-0.10501226053499355,-3.5038849211235212,4.585234585671189e-4,TRUE
Sorpresa disponible,TRUE,Beta constante,delta_sep2012,0.6518275082381728,0.17039286663237446,0.3178636264161822,0.9857913900601634,3.825438946599225,1.305392841401086e-4,TRUE
Sorpresa disponible,TRUE,Beta TVP,alpha,0.06523829470578635,0.01923750742161864,0.027533473007091823,0.10294311640448087,3.3912030948704484,6.958651424933443e-4,TRUE
