fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,exp12_lag1,shock_inf,alpha,se_alpha,alpha_li_95,alpha_ls_95,rho,se_rho,rho_li_95,rho_ls_95,beta_t,se_beta_t,beta_li_95,beta_ls_95,indice_anclaje,ajustado_tvp,residuo_tvp,residuo_estandarizado
2012-08-01,4.44,4.55,2.71,-0.35000000000000053,-0.20999999999999996,4.71,-3.62,-0.005908767425490714,0.014139881212413337,-0.033622425347495405,0.021804890496513973,-0.28101825183769913,0.0712598249753665,-0.4206849423340453,-0.141351561341353,0.028809161178163633,0.012567706492203743,0.004176909085174086,0.053441413271153176,-0.028809161178163633,-0.051184098004526266,-0.29881590199547425,-0.6777838210934778
2012-09-01,4.91,5.17,3.28,0.6200000000000001,-0.35000000000000053,4.44,-3.4100000000000006,-0.005908767425490725,0.01413988121241334,-0.03362242534749542,0.02180489049651397,-0.2810182518376992,0.07125982497536652,-0.4206849423340454,-0.141351561341353,0.028582025778017363,0.012504640159630934,0.004073381425507543,0.05309067013052718,-0.028582025778017363,-0.005017087185335084,0.6250170871853352,4.05907387948556
2012-10-01,4.7,4.76,3.35,-0.41000000000000014,0.6200000000000001,4.91,-3.3400000000000003,-0.005908767425490715,0.014139881212413346,-0.03362242534749542,0.02180489049651399,-0.28101825183769913,0.0712598249753665,-0.4206849423340453,-0.141351561341353,0.028585846516499445,0.012453016423658,0.004178382827243983,0.05299331020575491,-0.028585846516499445,-0.27561681092997237,-0.13438318907002778,-0.4168015718310666
2012-11-01,4.48,4.82,3.11,0.0600000000000005,-0.41000000000000014,4.7,-3.7399999999999998,-0.005908767425490717,0.014139881212413326,-0.033622425347495384,0.02180489049651395,-0.28101825183769913,0.07125982497536651,-0.4206849423340453,-0.14135156134135296,0.028541029373472828,0.012415829418320699,0.004206450875371373,0.05287560787157428,-0.028541029373472828,0.002565265971177594,0.057434734028822904,0.4977117509585283
2012-12-01,4.65,4.93,3.45,0.10999999999999943,0.0600000000000005,4.48,-2.49,-0.005908767425490731,0.014139881212413323,-0.03362242534749539,0.021804890496513928,-0.28101825183769913,0.07125982497536651,-0.4206849423340453,-0.14135156134135296,0.0285194893617727,0.012392539147686144,0.004230558955305167,0.05280841976824023,-0.0285194893617727,-0.09378339104656686,0.2037833910465663,1.3334892572372963
2013-01-01,4.53,4.83,3.86,-0.09999999999999964,0.10999999999999943,4.65,-2.11,-0.005908767425490742,0.014139881212413323,-0.033622425347495405,0.021804890496513917,-0.28101825183769913,0.07125982497536651,-0.4206849423340453,-0.14135156134135296,0.028552935254424636,0.012375009101814648,0.004298363106512569,0.0528075074023367,-0.028552935254424636,-0.09706746851447345,-0.002932531485526191,0.15764280757498278
2013-02-01,4.41,4.61,4.18,-0.21999999999999975,-0.09999999999999964,4.53,-1.8200000000000003,-0.005908767425490742,0.014139881212413332,-0.03362242534749542,0.021804890496513935,-0.28101825183769913,0.07125982497536651,-0.4206849423340453,-0.14135156134135296,0.028585710632259523,0.012361101240957368,0.004358397390729719,0.052813023873789326,-0.028585710632259523,-0.02983293559243327,-0.19016706440756648,-0.8648102456087945
2013-03-01,4.59,4.66,4.34,0.04999999999999982,-0.21999999999999975,4.41,-1.25,-0.005908767425490738,0.014139881212413339,-0.033622425347495426,0.021804890496513952,-0.2810182518376991,0.07125982497536651,-0.42068494233404524,-0.1413515613413529,0.02858098094438154,0.012348902502649401,0.00437757679059218,0.052784385098170905,-0.02858098094438154,0.020189021798326066,0.029810978201673756,0.37549233420489997
2013-04-01,4.85,4.93,4.13,0.2699999999999996,0.04999999999999982,4.59,-1.71,-0.005908767425490744,0.014139881212413332,-0.03362242534749542,0.021804890496513935,-0.28101825183769924,0.07125982497536652,-0.4206849423340454,-0.14135156134135304,0.02858028928593824,0.012336163330591872,0.004401853450574495,0.05275872512130199,-0.02858028928593824,-0.06883197469633004,0.33883197469632964,2.0268694585065403
2013-05-01,4.71,4.83,4.27,-0.09999999999999964,0.2699999999999996,4.85,-0.9900000000000002,-0.005908767425490743,0.014139881212413335,-0.033622425347495426,0.02180489049651394,-0.2810182518376992,0.07125982497536652,-0.4206849423340454,-0.141351561341353,0.028642383760773563,0.01232493234994021,0.00448596024299814,0.052798807278548986,-0.028642383760773563,-0.11013965534483525,0.010139655344835602,0.21919225796229078
