fecha,exp_inf_12m,exp_inf_24m,infl_gt,meta_inflacion,exp24_lag1,exp12_lag1,infl_lag1,d_exp24,gap_meta_largo,y_reparam,x_lambda,x_psi,lambda_t,lambda_se,lambda_li_95,lambda_ls_95,psi_t,psi_se,psi_li_95,psi_ls_95,theta1_inflacion,theta1_se,theta1_li_95,theta1_ls_95,theta2_expectativa_corta,theta2_se,theta2_li_95,theta2_ls_95,parametro_anclaje,anclaje_porcentaje,anclaje_se,anclaje_li_95,anclaje_ls_95,peso_meta,peso_inflacion,peso_expectativa_12m,suma_pesos,anclaje_significativamente_menor_uno,anclaje_significativamente_mayor_cero,lambda_significativamente_positivo,theta1_significativamente_positivo,theta2_significativamente_positivo,anclaje_fuera_0_1,algun_peso_fuera_0_1,residuo_estado_u,y_ajustada_estado,residuo_recursivo_estandarizado
2014-07-01,4.24,4.41,3.41,4,4.36,4.24,3.13,0.04999999999999982,-0.3600000000000003,0.41000000000000014,-0.8700000000000001,1.1100000000000003,0.147702237103544,0.07239569851340207,0.005809275381656043,0.28959519882543194,-0.026981089303176494,0.06056297339193256,-0.14568233594802188,0.0917201573416689,0.1746833264067205,0.04707066599297801,0.08242651633216931,0.2669401364812717,-0.026981089303176494,0.06056297339193256,-0.14568233594802188,0.0917201573416689,0.852297762896456,85.2297762896456,0.07239569851340207,0.7104048011745681,0.9941907246183439,0.852297762896456,0.1746833264067205,-0.026981089303176494,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.5684499554066093,0.41000000000000003,0.6645870679036668
2014-08-01,4.09,4.06,3.7,4,4.41,4.24,3.41,-0.35000000000000053,-0.41000000000000014,0.05999999999999961,-0.5899999999999999,0.8300000000000001,0.14719012750006544,0.07230423427523558,0.005476432390857183,0.2889038226092737,-0.02698108930031953,0.0605629733908438,-0.14568233594303098,0.09172015734239193,0.17417121680038497,0.046912659170830345,0.08222409440655484,0.2661183391942151,-0.02698108930031953,0.0605629733908438,-0.14568233594303098,0.09172015734239193,0.8528098724999346,85.28098724999346,0.07230423427523558,0.7110961773907263,0.9945235676091428,0.8528098724999346,0.17417121680038497,-0.02698108930031953,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.16923647934430336,0.059999999999999554,-2.0535203926531564
2014-09-01,4.24,4.13,3.45,4,4.06,4.09,3.7,0.07000000000000028,-0.05999999999999961,0.1299999999999999,-0.2999999999999998,0.3899999999999997,0.14621852688426312,0.0721977605639187,0.004713516414536267,0.28772353735399,-0.026981089294809028,0.060562973389815325,-0.14568233593550473,0.09172015734588666,0.17319961617907215,0.04674463741229194,0.08158181038059636,0.26481742197754793,-0.026981089294809028,0.060562973389815325,-0.14568233593550473,0.09172015734588666,0.8537814731157369,85.3781473115737,0.0721977605639187,0.7122764626460101,0.9952864835854638,0.8537814731157369,0.17319961617907215,-0.026981089294809028,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.18438818289025433,0.1299999999999999,-0.11094966721167925
2014-10-01,4.08,4.17,3.64,4,4.13,4.24,3.45,0.040000000000000036,-0.1299999999999999,0.16999999999999993,-0.5499999999999998,0.79,0.14520597023739365,0.07208363216920033,0.003924647310928175,0.2864872931638591,-0.026981089289124127,0.06056297338873687,-0.14568233592770607,0.09172015734945782,0.17218705952651778,0.0465491389538798,0.0809524236655629,0.2634216953874726,-0.026981089289124127,0.06056297338873687,-0.14568233592770607,0.09172015734945782,0.8547940297626063,85.47940297626063,0.07208363216920033,0.7135127068361409,0.9960753526890718,0.8547940297626063,0.17218705952651778,-0.026981089289124127,0.9999999999999999,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.27117834416897446,0.16999999999999993,0.610133311077087
2014-11-01,4.16,4.16,3.38,4,4.17,4.08,3.64,-0.009999999999999787,-0.16999999999999993,0.16000000000000014,-0.3599999999999999,0.43999999999999995,0.1443318806775078,0.07195862032694941,0.003295576459495131,0.28536818489552046,-0.026981089284297023,0.06056297338779497,-0.14568233592103288,0.09172015735243882,0.1713129699618048,0.04636500121311813,0.08043923744093738,0.26218670248267223,-0.026981089284297023,0.06056297338779497,-0.14568233592103288,0.09172015735243882,0.8556681193224922,85.56681193224922,0.07195862032694941,0.7146318151044795,0.9967044235405049,0.8556681193224922,0.1713129699618048,-0.026981089284297023,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.22383115632899364,0.16000000000000017,-0.3359523710042786
2014-12-01,4.2,4.21,2.95,4,4.16,4.16,3.38,0.04999999999999982,-0.16000000000000014,0.20999999999999996,-0.6200000000000001,0.7800000000000002,0.14336072295240637,0.07182569936496434,0.002584939032674871,0.2841365068721379,-0.02698108927916369,0.06056297338681739,-0.14568233591398352,0.09172015735565614,0.17034181223157005,0.046153321824389415,0.07988296368888036,0.26080066077425973,-0.02698108927916369,0.06056297338681739,-0.14568233591398352,0.09172015735565614,0.8566392770475937,85.66392770475937,0.07182569936496434,0.7158634931278622,0.9974150609673251,0.8566392770475937,0.17034181223157005,-0.02698108927916369,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.31992889786823964,0.21,0.6620442652058548
2015-01-01,3.75,3.89,2.32,4,4.21,4.2,2.95,-0.31999999999999984,-0.20999999999999996,-0.10999999999999988,-1.0499999999999998,1.25,0.14278843883207948,0.07167814708578678,0.0023018520653727836,0.28327502559878615,-0.026981089275491702,0.06056297338584731,-0.14568233590841023,0.09172015735742682,0.16976952810757118,0.0459209138197882,0.07976619088361868,0.25977286533152366,-0.026981089275491702,0.06056297338584731,-0.14568233590841023,0.09172015735742682,0.8572115611679205,85.72115611679206,0.07167814708578678,0.7167249744012139,0.9976981479346272,0.8572115611679205,0.16976952810757118,-0.026981089275491702,0.9999999999999999,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.07365422236804808,-0.10999999999999996,-1.0650007677821756
2015-02-01,3.79,4.07,2.44,4,3.89,3.75,2.32,0.18000000000000016,0.10999999999999988,0.07000000000000028,-1.6800000000000002,1.4300000000000002,0.14119043996338665,0.071469014741942,0.0011137450586181652,0.28126713486815513,-0.026981089269046032,0.06056297338503059,-0.1456823359003638,0.09172015736227174,0.16817152923243267,0.04566661365684721,0.07866661116910718,0.25767644729575817,-0.026981089269046032,0.06056297338503059,-0.1456823359003638,0.09172015736227174,0.8588095600366134,85.88095600366134,0.071469014741942,0.7187328651318449,0.9988862549413818,0.8588095600366134,0.16817152923243267,-0.026981089269046032,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.3457828967932257,0.07000000000000028,1.5458991478033681
2015-03-01,3.82,4.11,2.43,4,4.07,3.79,2.44,0.040000000000000036,-0.07000000000000028,0.11000000000000032,-1.56,1.35,0.14039194145793193,0.07138493699027912,4.800359183238234e-4,0.2803038469975401,-0.026981089260911254,0.06056297338438465,-0.14568233589096302,0.0917201573691405,0.16737303071884319,0.045500378149814315,0.07819392826225392,0.25655213317543246,-0.026981089260911254,0.06056297338438465,-0.14568233589096302,0.0917201573691405,0.859608058542068,85.9608058542068,0.07138493699027912,0.7196961530024599,0.9995199640816761,0.859608058542068,0.16737303071884319,-0.026981089260911254,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.36543589917660435,0.11000000000000032,0.21189318506876778
2015-04-01,3.62,3.82,2.58,4,4.11,3.82,2.43,-0.2900000000000005,-0.11000000000000032,-0.18000000000000016,-1.5699999999999998,1.3899999999999997,0.14049617223947583,0.07128465521274734,7.808153721356459e-4,0.280211529106816,-0.026981089251051263,0.06056297338373965,-0.14568233587983884,0.09172015737773631,0.1674772614905271,0.04530754761577653,0.07867609993577153,0.2562784230452827,-0.026981089251051263,0.06056297338373965,-0.14568233587983884,0.09172015737773631,0.8595038277605241,85.95038277605241,0.07128465521274734,0.719788470893184,0.9992191846278643,0.8595038277605241,0.1674772614905271,-0.026981089251051263,0.9999999999999999,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.07808270447493808,-0.18000000000000022,-1.4307071797713322
