fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,pi_estrella_t,inflacion,expectativa,meta_inflacion,brecha_ancla_meta,ancla_dentro_banda_meta
2014-06-01,B0,Modelo base TVP-VAR,2.7321670095845167,0.15389899370891816,0.2520246348694623,0.7942459058366722,4.599016458181067,3.13,4.36,4,0.5990164581810671,TRUE
2014-07-01,B0,Modelo base TVP-VAR,2.6986082588269853,0.15270232991993735,0.2520246348694623,0.795845776427025,4.533395768333856,3.41,4.41,4,0.5333957683338557,TRUE
2014-08-01,B0,Modelo base TVP-VAR,2.651340630516616,0.15113712157816803,0.2520246348694623,0.7979383698662437,4.442310222508344,3.7,4.06,4,0.4423102225083442,TRUE
2014-09-01,B0,Modelo base TVP-VAR,2.6262900476749063,0.15022261868686967,0.25202463486946225,0.7991610075812422,4.393605990604021,3.45,4.13,4,0.393605990604021,TRUE
2014-10-01,B0,Modelo base TVP-VAR,2.608911789274931,0.1495519375463503,0.2520246348694623,0.8000576696529969,4.359641800467286,3.64,4.17,4,0.3596418004672861,TRUE
2014-11-01,B0,Modelo base TVP-VAR,2.591098422461766,0.1488683632171698,0.2520246348694623,0.8009715691756919,4.324934300862076,3.38,4.16,4,0.3249343008620764,TRUE
2014-12-01,B0,Modelo base TVP-VAR,2.575721377656475,0.14826095816505133,0.25202463486946236,0.8017836347602483,4.29491329162734,2.95,4.21,4,0.29491329162734026,TRUE
2015-01-01,B0,Modelo base TVP-VAR,2.5517146351492355,0.14740302524374987,0.25202463486946236,0.8029306416822632,4.248804791160133,2.32,3.89,4,0.24880479116013277,TRUE
2015-02-01,B0,Modelo base TVP-VAR,2.5437562625724284,0.1469517197830803,0.25202463486946236,0.803534011100173,4.232373022698399,2.44,4.07,4,0.23237302269839866,TRUE
2015-03-01,B0,Modelo base TVP-VAR,2.5149258977006332,0.14608450787552213,0.25202463486946236,0.8046934234925942,4.178375310716977,2.43,4.11,4,0.17837531071697743,TRUE
2015-04-01,B0,Modelo base TVP-VAR,2.4644141092676555,0.14476291369282787,0.2520246348694624,0.8064603188267254,4.085482823495962,2.58,3.82,4,0.08548282349596192,TRUE
2015-05-01,B0,Modelo base TVP-VAR,2.4171622840162144,0.1435093592634522,0.25202463486946236,0.8081362489279219,3.9988390754065306,2.55,3.57,4,-0.0011609245934693924,TRUE
2015-06-01,B0,Modelo base TVP-VAR,2.3882577902193565,0.14266237581207447,0.25202463486946236,0.8092686170390426,3.945492385531582,2.39,3.67,4,-0.05450761446841801,TRUE
2015-07-01,B0,Modelo base TVP-VAR,2.3574971605278914,0.1417747392566555,0.2520246348694624,0.8104553360097457,3.8889718352391807,2.32,3.56,4,-0.11102816476081934,TRUE
2015-08-01,B0,Modelo base TVP-VAR,2.3329764582629835,0.14101519446368774,0.2520246348694624,0.8114708036686775,3.843706014020341,1.96,3.31,4,-0.15629398597965904,TRUE
2015-09-01,B0,Modelo base TVP-VAR,2.333645901010548,0.14075760193098702,0.2520246348694624,0.8118151900545256,3.8431779214002337,1.88,3.4,4,-0.15682207859976627,TRUE
2015-10-01,B0,Modelo base TVP-VAR,2.3387692399005515,0.14057498844574695,0.25202463486946236,0.812059333770687,3.8504573419358477,2.23,3.28,4,-0.14954265806415235,TRUE
2015-11-01,B0,Modelo base TVP-VAR,2.362217854874909,0.14068827984716278,0.25202463486946247,0.8119078696895189,3.8897877332145825,2.51,3.37,4,-0.11021226678541751,TRUE
2015-12-01,B0,Modelo base TVP-VAR,2.3991703835014944,0.14106021874381003,0.2520246348694625,0.8114106087983365,3.953057355356788,3.07,3.65,4,-0.046942644643212184,TRUE
2016-01-01,B0,Modelo base TVP-VAR,2.4312908567917217,0.14132798602902852,0.2520246348694625,0.8110526193541631,4.007749708558288,4.38,3.8,4,0.007749708558288049,TRUE
2016-02-01,B0,Modelo base TVP-VAR,2.461889538925347,0.14155562626793722,0.25202463486946247,0.8107482774606718,4.059712079199239,4.27,4.09,4,0.059712079199239376,TRUE
2016-03-01,B0,Modelo base TVP-VAR,2.487354934542443,0.14159015267675393,0.25202463486946247,0.8107021176398724,4.1019386414077825,4.26,3.99,4,0.10193864140778253,TRUE
2016-04-01,B0,Modelo base TVP-VAR,2.5263376996814277,0.1421204303412383,0.25202463486946247,0.8099931669321285,4.169872282314616,4.09,4.19,4,0.16987228231461593,TRUE
2016-05-01,B0,Modelo base TVP-VAR,2.559958255575712,0.1424545088573941,0.2520246348694625,0.8095465231899278,4.2276962536546305,4.36,4.16,4,0.22769625365463053,TRUE
2016-06-01,B0,Modelo base TVP-VAR,2.5975080126362955,0.14292661668894932,0.2520246348694625,0.8089153421997988,4.293055756790912,4.43,4.39,4,0.29305575679091156,TRUE
2016-07-01,B0,Modelo base TVP-VAR,2.622743813039598,0.14293758974848858,0.25202463486946247,0.8089006718509466,4.334843078820121,4.62,4.41,4,0.3348430788201213,TRUE
2016-08-01,B0,Modelo base TVP-VAR,2.643126265553893,0.1427638959710045,0.2520246348694626,0.8091328904313724,4.3672772249746785,4.74,4.45,4,0.3672772249746785,TRUE
2016-09-01,B0,Modelo base TVP-VAR,2.6598549574065564,0.1424452162721287,0.2520246348694625,0.8095589468414257,4.392605326788627,4.56,4.42,4,0.3926053267886269,TRUE
2016-10-01,B0,Modelo base TVP-VAR,2.680306563564225,0.14227810374369312,0.2520246348694625,0.8097823666707759,4.425158795381076,4.76,4.43,4,0.42515879538107626,TRUE
2016-11-01,B0,Modelo base TVP-VAR,2.7020865882119516,0.14216301998013298,0.2520246348694626,0.8099362270369392,4.46026993316075,4.67,4.6,4,0.4602699331607498,TRUE
2016-12-01,B0,Modelo base TVP-VAR,2.713198579901886,0.14161178703373745,0.2520246348694626,0.8106731937501401,4.474540816613412,4.23,4.66,4,0.47454081661341174,TRUE
