fecha,exp_inf_24m,exp_inf_12m,infl_gt,meta_inflacion,exp24_lag1,infl_lag1,exp12_pronostico_infl_lag1,d_exp24,gap_meta_largo,x_inflacion,sorpresa_inflacion,y_ajustada,lambda_desanclaje,lambda_se,lambda_li_95,lambda_ls_95,parametro_anclaje,anclaje_porcentaje,anclaje_se,anclaje_li_95,anclaje_ls_95,gamma_sorpresa,gamma_sorpresa_se,gamma_sorpresa_li_95,gamma_sorpresa_ls_95,gamma_sorpresa_p_valor,z_anclaje_igual_uno,p_anclaje_igual_uno,anclaje_significativamente_menor_uno,anclaje_significativamente_mayor_cero,lambda_significativamente_positiva,fuera_rango_0_1,contribucion_meta,contribucion_inflacion,contribucion_sorpresa,ajuste_sin_error_estado,residuo_estado_u,ajuste_total_estado
2014-02-01,4.68,4.56,3.5,4,4.94,4.14,4.53,-0.2600000000000007,-0.9400000000000004,0.13999999999999968,-0.39000000000000057,0.6799999999999997,0.38576293807339873,0.0762267172833001,0.2363613175384137,0.5351645586083837,0.6142370619266013,61.423706192660134,0.0762267172833001,0.46483544139161626,0.7636386824615864,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.06073135275776,4.176513396140677e-7,TRUE,TRUE,TRUE,FALSE,-0.9400000000000004,0.0540068113302757,0.05428745693170543,-0.8317057317380192,0.5717057317380186,-0.26000000000000056
2014-03-01,4.54,4.46,3.25,4,4.68,3.5,4.41,-0.13999999999999968,-0.6799999999999997,-0.5,-0.9100000000000001,0.54,0.3825801512482295,0.07612856812575544,0.23337089952714496,0.5317894029693141,0.6174198487517705,61.741984875177046,0.07612856812575544,0.4682105970306859,0.766629100472855,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.025447879385464,5.022589665097377e-7,TRUE,TRUE,TRUE,FALSE,-0.6799999999999997,-0.19129007562411476,0.12667073284064584,-0.7446193427834686,0.604619342783469,-0.13999999999999968
2014-04-01,4.66,4.51,3.27,4,4.54,3.25,4.59,0.1200000000000001,-0.54,-0.75,-1.3399999999999999,0.6600000000000001,0.3791446863188879,0.0760670317999511,0.2300560435801208,0.5282333290576551,0.6208553136811121,62.08553136811121,0.0760670317999511,0.47176667094234503,0.7699439564198792,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-4.98434968931089,6.217055367233e-7,TRUE,TRUE,TRUE,FALSE,-0.54,-0.28435851473916596,0.1865261340730389,-0.6378323806661271,0.7578323806661271,0.12
2014-05-01,4.28,4.19,3.22,4,4.66,3.27,4.85,-0.3799999999999999,-0.6600000000000001,-0.73,-1.5799999999999996,0.28000000000000025,0.3778558251183572,0.07603045896508723,0.22883886381873578,0.5268727864179786,0.6221441748816428,62.21441748816427,0.07603045896508723,0.47312721358202137,0.7711611361812641,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-4.969795398602902,6.702358827190955e-7,TRUE,TRUE,TRUE,FALSE,-0.6600000000000001,-0.27583475233640076,0.21993379987716521,-0.7159009524592357,0.3359009524592355,-0.38000000000000017
2014-06-01,4.36,4.24,3.13,4,4.28,3.22,4.71,0.08000000000000007,-0.28000000000000025,-0.7799999999999998,-1.4899999999999998,0.3600000000000003,0.37472324893622094,0.07590974827547584,0.22594287624078685,0.5235036216316551,0.6252767510637791,62.52767510637791,0.07590974827547584,0.476496378368345,0.7740571237592132,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-4.936431189000303,7.956509201313925e-7,TRUE,TRUE,TRUE,FALSE,-0.28000000000000025,-0.2922841341702523,0.20740592520061785,-0.36487820896963463,0.4448782089696347,0.08000000000000007
2014-07-01,4.41,4.24,3.41,4,4.36,3.13,4.87,0.04999999999999982,-0.3600000000000003,-0.8700000000000001,-1.7400000000000002,0.41000000000000014,0.3718590567509634,0.07579171271853062,0.2233100294960371,0.5204080840058898,0.6281409432490366,62.81409432490366,0.07579171271853062,0.4795919159941102,0.7766899705039629,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-4.9063287187076075,9.279695176076613e-7,TRUE,TRUE,TRUE,FALSE,-0.3600000000000003,-0.32351737937333824,0.24220557707991622,-0.4413118022934224,0.49131180229342203,0.049999999999999656
2014-08-01,4.06,4.09,3.7,4,4.41,3.41,4.88,-0.35000000000000053,-0.41000000000000014,-0.5899999999999999,-1.4699999999999998,0.05999999999999961,0.3709767531053292,0.07569255217902736,0.2226220769365168,0.5193314292741416,0.6290232468946708,62.90232468946708,0.07569255217902736,0.48066857072585845,0.7773779230634832,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-4.901099810030163,9.53016196946325e-7,TRUE,TRUE,TRUE,FALSE,-0.41000000000000014,-0.21887628433214418,0.20462195305027397,-0.4242543312818703,0.07425433128186983,-0.3500000000000005
2014-09-01,4.13,4.24,3.45,4,4.06,3.7,4.85,0.07000000000000028,-0.05999999999999961,-0.2999999999999998,-1.1499999999999995,0.1299999999999999,0.36888125851622117,0.07556119041392219,0.22078404667596052,0.5169784703564818,0.6311187414837789,63.111874148377886,0.07556119041392219,0.48302152964351824,0.7792159533240395,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-4.881887864596884,1.0507500529988742e-6,TRUE,TRUE,TRUE,FALSE,-0.05999999999999961,-0.11066437755486629,0.1600783986447721,-0.010585978910093802,0.080585978910094,0.0700000000000002
2014-10-01,4.17,4.08,3.64,4,4.13,3.45,4.84,0.040000000000000036,-0.1299999999999999,-0.5499999999999998,-1.3899999999999997,0.16999999999999993,0.36664776907437197,0.07536710151346551,0.2189309644888054,0.5143645736599385,0.6333522309256281,63.335223092562806,0.07536710151346551,0.4856354263400615,0.7810690355111947,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-4.864825125441032,1.1455804954286412e-6,TRUE,TRUE,TRUE,FALSE,-0.1299999999999999,-0.20165627299090452,0.19348606444889851,-0.13817020854200587,0.17817020854200588,0.04000000000000001
2014-11-01,4.16,4.16,3.38,4,4.17,3.64,4.72,-0.009999999999999787,-0.16999999999999993,-0.3599999999999999,-1.0799999999999996,0.16000000000000014,0.3647679652921041,0.07518321401997681,0.21741157357098273,0.5121243570132255,0.6352320347078959,63.52320347078959,0.07518321401997681,0.48787564298677455,0.7825884264290173,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-4.851720826874762,1.223948291618595e-6,TRUE,TRUE,TRUE,FALSE,-0.16999999999999993,-0.13131646750515744,0.1503344961185686,-0.15098197138658878,0.14098197138658888,-0.009999999999999898
