fecha,residuo_d_inflacion,residuo_d_expectativa
2013-12-01,-0.768283691450321,1.63385180484302
2014-01-01,-0.271269725236057,-0.202033330683566
2014-02-01,-1.05191965266374,-1.1255915397379
2014-03-01,-0.0875025912058059,-0.0607407102526338
2014-04-01,0.16895550165947,0.718940605980245
2014-05-01,-0.0937520931977517,-1.53910847146535
2014-06-01,-0.18242936793115,-0.00298945810907659
2014-07-01,0.561431445165233,0.484673937248409
2014-08-01,0.338413862383114,-1.78486370774419
2014-09-01,-0.672247793883945,-0.370997785335619
2014-10-01,0.480792923561766,0.619569928670005
2014-11-01,-0.586427588520391,-0.132571115842937
2014-12-01,-0.625405223357375,0.559519873915724
2015-01-01,-0.856279546059408,-0.823815850533307
2015-02-01,0.587510706155854,1.15162727791728
2015-03-01,-0.061734924837384,0.338848771473801
2015-04-01,0.288576212449747,-1.17074220722445
2015-05-01,-0.163379064835707,-1.52341928662865
2015-06-01,-0.280895071407095,0.277146242270208
2015-07-01,-0.00972856182102458,-0.127947173432389
2015-08-01,-0.597427085888883,-1.07477180988137
2015-09-01,0.0723966964263637,0.548685615164027
2015-10-01,0.699753906081863,-0.248811624447262
2015-11-01,0.298020629735884,0.0510291835664257
2015-12-01,0.846574169573102,1.18945340567559
2016-01-01,1.99361532580146,0.50878521195834
2016-02-01,-1.04498086758538,0.134685415448046
2016-03-01,0.0277520139005994,0.0939408563729001
2016-04-01,-0.320529414700424,0.859302622025432
2016-05-01,0.561754961163902,0.350192618179473
2016-06-01,-0.0505605589006074,0.752082079321951
2016-07-01,0.273068728041444,0.330374476197031
2016-08-01,0.0804128673156361,0.0366815996639244
2016-09-01,-0.418541073656283,-0.173054080977008
2016-10-01,0.434226361760507,0.257703063665752
2016-11-01,-0.300256039322074,0.589427519341837
2016-12-01,-0.765166706016548,0.60113329996166
2017-01-01,-0.481459285895413,-0.553598535962837
2017-02-01,0.448206783245873,0.460181460501915
2017-03-01,-0.0165932293681233,-0.840787284999012
2017-04-01,0.119867306563705,0.806723940330079
2017-05-01,-0.348786439980452,-1.29714643063588
2017-06-01,0.83359690674388,0.205009787735752
2017-07-01,1.2713980242069,0.651393588991779
2017-08-01,-1.40532564152212,-0.507704228164274
2017-09-01,-0.396643502642147,1.63135090758397
2017-10-01,-0.0916451833187426,-0.337790600390897
2017-11-01,0.930798588523988,0.347749842022767
2017-12-01,1.4790609263478,-0.594535402404099
2018-01-01,-2.28844552359584,-0.210363797767543
2018-02-01,-0.580458811784997,0.306769891529528
2018-03-01,0.2262674936475,0.523981310819452
2018-04-01,-0.40533374760732,-0.60902152407593
2018-05-01,0.388244877685626,0.0783909397789834
2018-06-01,-0.633173522828811,-0.291624172496656
2018-07-01,-1.98358060787428,-0.129355670432995
2018-08-01,1.86174142773398,0.587481478856542
2018-09-01,1.81269104448858,-0.489375547602643
2018-10-01,-0.904018154467239,-0.584765510648033
2018-11-01,-2.06716550923449,0.798566885895969
2018-12-01,-0.96698963202119,0.310033890188129
2019-01-01,3.5580222952447,-1.08079163700761
2019-02-01,-0.011944454220838,-0.361989186278104
2019-03-01,-0.661533735740456,0.5334437637501
2019-04-01,1.12077712988622,0.0587937332571723
2019-05-01,-0.591919341760809,0.111853123700688
2019-06-01,0.508356807918073,0.0992440595546412
2019-07-01,-0.878759904097868,0.941669655908792
2019-08-01,-2.30988701662412,0.194867000144704
2019-09-01,-1.64794238572184,-0.239929832940764
2019-10-01,1.14842717186921,-0.111410060627355
2019-11-01,1.19281131589187,-0.170855881339012
2019-12-01,0.573801716977756,-0.962756751792651
2020-01-01,-3.13366512320512,-0.306348566671608
2020-02-01,-0.353441703395162,-0.36525107930226
2020-03-01,1.14957890956838,0.613187568275136
2020-04-01,0.0273558907077642,-0.128302776233613
2020-05-01,-0.175174531925716,-0.080346216108933
2020-06-01,1.09700783032378,-0.78327058065163
2020-07-01,0.648326192572042,0.130382032500023
2020-08-01,2.17037100293928,0.0579826149045319
2020-09-01,0.841350508679864,-0.210232986255969
2020-10-01,0.309326749540305,0.483951302134487
2020-11-01,0.0424367165794073,0.582334431405491
2020-12-01,-1.21590486167824,0.0714126307244327
2021-01-01,1.00337802832085,-0.278341685510035
2021-02-01,1.14295786924962,0.853361702201094
