codigo_modelo,fecha,lambda_t,lambda_li_95,lambda_ls_95,pi_estrella_t,c0,c,d
M3B,2018-01-01,0.8221713233292841,0.7570766282998421,0.8872660183587261,4.561160596093976,2.692152220117195,0.12766261031331116,0.28210335530020764
M3B,2018-02-01,0.8236581361816282,0.7585942411810686,0.8887220311821878,4.55399757848185,2.6927851999696393,0.1265952323553168,0.28210335530020764
M3B,2018-03-01,0.8245942420447043,0.759470238205885,0.8897182458835237,4.564383612196202,2.7019938665778067,0.12592320509713065,0.28210335530020764
M3B,2018-04-01,0.8264463873031698,0.7613871633898134,0.8915056112165262,4.542388227413816,2.6950129643508,0.12459355623058173,0.2821033553002076
M3B,2018-05-01,0.8278447090001821,0.7628739794851,0.8928154385152642,4.536497697205652,2.696072059860736,0.12358970577608563,0.2821033553002076
M3B,2018-06-01,0.829570584452444,0.7647806691728262,0.8943604997320619,4.518547295128708,2.6910024923358122,0.12235070557973704,0.2821033553002076
M3B,2018-07-01,0.8310874739584787,0.7664436906536154,0.895731257263342,4.508084539688697,2.6896806091322083,0.12126173569297445,0.2821033553002076
M3B,2018-08-01,0.8323052802446949,0.7678332671950374,0.8967772932943523,4.508962847633799,2.6941466398742033,0.12038747664620555,0.2821033553002076
M3B,2018-09-01,0.8340074600870323,0.7700162065404068,0.8979987136336578,4.4844852971325215,2.685001071627592,0.11916548744871588,0.2821033553002076
M3B,2018-10-01,0.8357987163510313,0.772437441014161,0.8991599916879016,4.456391489219331,2.6739110715903913,0.11787955058699352,0.2821033553002076
M3B,2018-11-01,0.836586414104916,0.7735692595823785,0.8996035686274534,4.460665788382558,2.678998166309905,0.11731406501244217,0.2821033553002076
M3B,2018-12-01,0.8379291494134851,0.7751004979226842,0.9007578009042859,4.446381404363043,2.674705281997124,0.11635011983970042,0.2821033553002076
M3B,2019-01-01,0.8397679506726087,0.7773106937810514,0.9022252075641659,4.410365402946751,2.6588619692739917,0.11503005058550587,0.2821033553002075
M3B,2019-02-01,0.8411849622049079,0.7794035976715026,0.9029663267383132,4.3988771097590496,2.6564108972355926,0.11401278276096731,0.2821033553002075
M3B,2019-03-01,0.842419169906715,0.7812913059585304,0.9035470338548995,4.393786822799823,2.6572299977038703,0.11312674919297744,0.2821033553002075
M3B,2019-04-01,0.843556635591439,0.782953703127331,0.904159568055547,4.391841822304086,2.659640022443236,0.11231016639445292,0.2821033553002075
M3B,2019-05-01,0.8442287563665782,0.7841449906074273,0.9043125221257292,4.405826540688599,2.6702348484798297,0.11182765314514745,0.2821033553002075
M3B,2019-06-01,0.844665660958398,0.78490370644535,0.904427615471446,4.427009374794775,2.6844616492367437,0.11151400080462608,0.2821033553002075
M3B,2019-07-01,0.8444668351737286,0.7848797467129879,0.9040539236344692,4.468460080277773,2.7089588258756736,0.11165673716832006,0.2821033553002075
M3B,2019-08-01,0.8454838250178078,0.785818321564363,0.9051493284712526,4.4728374323826525,2.714878141379691,0.11092664357156176,0.28210335530020747
M3B,2019-09-01,0.8467900794093577,0.786802229536645,0.9067779292820703,4.4676885535878625,2.715942526572224,0.1099888879267438,0.28210335530020747
M3B,2019-10-01,0.8481881196877732,0.78796953547742,0.9084067038981264,4.458399593830698,2.7147703616139927,0.10898523950171417,0.28210335530020747
M3B,2019-11-01,0.8498949075840764,0.7896771750518082,0.9101126401163445,4.426905667214523,2.7010176260819008,0.10775994219774383,0.2821033553002074
M3B,2019-12-01,0.8521493639063068,0.7921066992301685,0.9121920285824451,4.362454360121858,2.6687540049043617,0.10614147556839237,0.2821033553002075
M3B,2020-01-01,0.8539449412920757,0.7940470514647662,0.9138428311193851,4.319454461614351,2.648016539895966,0.10485243658785015,0.2821033553002075
M3B,2020-02-01,0.8553802524423283,0.79542840999531,0.9153320948893466,4.291055010262892,2.6350279455218466,0.10382203152898349,0.2821033553002076
M3B,2020-03-01,0.8563497161449876,0.7964671042234239,0.9162323280665512,4.296292985619131,2.6412345646031383,0.10312605678968619,0.28210335530020764
M3B,2020-04-01,0.8576575477984566,0.7980195554342816,0.9172955401626316,4.267316249750637,2.627427051488275,0.10218716883382861,0.2821033553002076
M3B,2020-05-01,0.8590947686356335,0.7998261239769553,0.9183634132943117,4.229095972236168,2.608257944248874,0.10115539281712667,0.2821033553002075
M3B,2020-06-01,0.8606903918484085,0.8019205813686153,0.9194602023282016,4.180230567334581,2.582909056231023,0.10000990026647044,0.2821033553002075
M3B,2020-07-01,0.861884970298712,0.80376930362992,0.920000636967504,4.1598790683295785,2.5739015799204585,0.09915231640516683,0.28210335530020747
M3B,2020-08-01,0.8632033869121383,0.8059068251867333,0.9204999486375433,4.132857340185378,2.5610937340700475,0.09820582954207163,0.28210335530020747
M3B,2020-09-01,0.8643811182185248,0.8080563964617878,0.9207058399752618,4.112360056513549,2.551868712287292,0.09736034018885885,0.28210335530020747
M3B,2020-10-01,0.8649171228166644,0.8094820012611894,0.9203522443721395,4.113045821919139,2.553876937797105,0.09697554428631076,0.28210335530020747
M3B,2020-11-01,0.8653380462836529,0.8105828164102974,0.9200932761570083,4.117011637840396,2.5575834732849136,0.09667336474168439,0.2821033553002074
M3B,2020-12-01,0.8660341177258291,0.811717914426778,0.9203503210248801,4.113585808406855,2.5575108573625065,0.0961736573888747,0.2821033553002074
M3B,2021-01-01,0.8664295308871084,0.8123219700081927,0.920537091766024,4.118084880569369,2.5614770173314585,0.09588979160712216,0.28210335530020747
M3B,2021-02-01,0.865796214582487,0.8119742654779591,0.9196181636870149,4.152663472615114,2.5810971066433304,0.09634444725724353,0.2821033553002075
M3B,2021-03-01,0.8666670425597661,0.8131821063137471,0.9201519788057851,4.146186765899016,2.5796635440576714,0.09571928277424414,0.2821033553002075
M3B,2021-04-01,0.8669012274938812,0.813394794998899,0.9204076599888634,4.1552681939746074,2.5860123891126054,0.09555116219580363,0.28210335530020747
M3B,2021-05-01,0.8673912600168122,0.8135931576288327,0.9211893624047918,4.157956261597005,2.589148034530475,0.09519936949179776,0.2821033553002074
M3B,2021-06-01,0.8688011676841457,0.8146572238526724,0.9229451115156191,4.135433709525396,2.5793090563243126,0.09418720150808249,0.28210335530020747
M3B,2021-07-01,0.8693702829086787,0.8146865435746091,0.9240540222427482,4.136073685521273,2.581398074106087,0.09377863559794272,0.28210335530020747
M3B,2021-08-01,0.869770244312781,0.8147267135489912,0.9248137750765709,4.14259902221158,2.586660122642738,0.0934915046479282,0.28210335530020747
M3B,2021-09-01,0.8704326496031408,0.8151680357168396,0.925697263489442,4.139803459147225,2.5868831947697424,0.09301596611254752,0.2821033553002075
M3B,2021-10-01,0.8718901310408029,0.8165409708033616,0.9272392912782442,4.107503333074355,2.5709972372047134,0.0919696450787377,0.2821033553002075
M3B,2021-11-01,0.871836706585897,0.8164182618522359,0.927255151319558,4.130617610787954,2.5853066651465344,0.09200799831565958,0.28210335530020747
M3B,2021-12-01,0.8725321326597512,0.8172685110525827,0.9277957542669196,4.120546761337421,2.5810605932489765,0.09150875427060294,0.28210335530020747
M3B,2022-01-01,0.8733650338024453,0.818451634511866,0.9282784330930247,4.104280279291071,2.5733255666487405,0.09091081733489616,0.28210335530020747
M3B,2022-02-01,0.8748413335128701,0.8204649040633465,0.9292177629623937,4.060563424828557,2.550219227889911,0.08985098672621095,0.28210335530020747
M3B,2022-03-01,0.8760742208604608,0.8224728765740125,0.9296755651469092,4.028000668639608,2.5333334560054293,0.08896590103608275,0.2821033553002074
M3B,2022-04-01,0.8766779005080598,0.8241492967151289,0.9292065043009907,4.023003324255837,2.531933960031055,0.08853252144259784,0.28210335530020747
M3B,2022-05-01,0.8770020902575967,0.8257361649487519,0.9282680155664415,4.027101294126124,2.5354503215918207,0.08829978670915929,0.28210335530020747
