fecha,modelo,parametro_anclaje,anclaje_porcentaje,anclaje_se,anclaje_li_95,anclaje_ls_95,anclaje_significativamente_menor_uno,anclaje_significativamente_mayor_cero,fuera_rango_0_1,y_observada,y_ajustada_estado,residuo_estado_u
2011-12-01,TVP base sin sorpresa,0.8663236485299577,86.63236485299576,1.0000000556362285e-6,0.8663216885658641,0.8663256084940513,TRUE,TRUE,FALSE,-0.43484387510005984,-0.43484387510005984,0.4789923194061031
2012-01-01,TVP base sin sorpresa,0.8663236484712895,86.63236484712895,1.0000000555838785e-6,0.866321688507196,0.866325608435383,TRUE,TRUE,FALSE,-0.25,-0.25,1.2227502024011923
2012-02-01,TVP base sin sorpresa,0.8663236484717319,86.63236484717319,1.0000000556429635e-6,0.8663216885076384,0.8663256084358255,TRUE,TRUE,FALSE,0.6699999999999999,0.67,1.4843442295634284
2012-03-01,TVP base sin sorpresa,0.8663236485106697,86.63236485106697,1.0000000556557518e-6,0.8663216885465761,0.8663256084747633,TRUE,TRUE,FALSE,0.2999999999999998,0.2999999999999998,0.8804368445021484
2012-04-01,TVP base sin sorpresa,0.866323648495543,86.6323648495543,1.000000055668894e-6,0.8663216885314493,0.8663256084596367,TRUE,TRUE,FALSE,0.9900000000000002,0.9900000000000002,1.0333161824247772
2012-05-01,TVP base sin sorpresa,0.8663236484954939,86.63236484954939,1.0000000556674103e-6,0.8663216885314002,0.8663256084595876,TRUE,TRUE,FALSE,1.0100000000000007,1.0100000000000007,0.8107455608460367
2012-06-01,TVP base sin sorpresa,0.8663236484968174,86.63236484968174,1.0000000556583712e-6,0.8663216885327238,0.866325608460911,TRUE,TRUE,FALSE,1.2100000000000004,1.2100000000000004,0.69020581090191
2012-07-01,TVP base sin sorpresa,0.866323648499761,86.6323648499761,1.0000000556377422e-6,0.8663216885356674,0.8663256084638545,TRUE,TRUE,FALSE,1.4300000000000002,1.4300000000000002,0.5376866420452464
2012-08-01,TVP base sin sorpresa,0.8663236484765997,86.63236484765997,1.0000000555897931e-6,0.8663216885125062,0.8663256084406932,TRUE,TRUE,FALSE,1.69,1.6900000000000004,0.26922921649837667
2012-09-01,TVP base sin sorpresa,0.8663236485028798,86.63236485028798,1.000000055574644e-6,0.8663216885387863,0.8663256084669733,TRUE,TRUE,FALSE,1.96,1.96,0.40928066917984524
2012-10-01,TVP base sin sorpresa,0.8663236484949295,86.63236484949294,1.0000000556251629e-6,0.8663216885308359,0.8663256084590231,TRUE,TRUE,FALSE,1.48,1.48,0.42308514883618586
2012-11-01,TVP base sin sorpresa,0.8663236484931908,86.63236484931907,1.0000000556300437e-6,0.8663216885290972,0.8663256084572843,TRUE,TRUE,FALSE,1.4700000000000002,1.4700000000000002,0.473727804232831
2012-12-01,TVP base sin sorpresa,0.8663236484904906,86.63236484904905,1.0000000556120826e-6,0.866321688526397,0.8663256084545842,TRUE,TRUE,FALSE,1.8199999999999998,1.8199999999999998,0.6158101285982177
2013-01-01,TVP base sin sorpresa,0.8663236485053347,86.63236485053348,1.0000000556600657e-6,0.8663216885412411,0.8663256084694283,TRUE,TRUE,FALSE,1.38,1.38,0.903521993322066
2013-02-01,TVP base sin sorpresa,0.8663236484949886,86.63236484949886,1.0000000556683906e-6,0.8663216885308949,0.8663256084590822,TRUE,TRUE,FALSE,0.7500000000000004,0.7500000000000004,0.628714689210702
