codigo_modelo,fecha,lambda_t,lambda_li_95,lambda_ls_95,pi_estrella_t,c0_t,c_t,d_t
M2,2015-11-01,0.811908335821584,0.7394091778332261,0.8844074938099418,3.889788607881916,2.3622078937948556,0.1406872255276763,0.25202838657312243
M2,2015-12-01,0.8114111990259376,0.7394707443107593,0.8833516537411159,3.9530581624349863,2.399160581658218,0.1410590695593622,0.2520283875246503
M2,2016-01-01,0.8110533161160408,0.7397663999083126,0.882340232323769,4.007750498848638,2.431281224125059,0.14132675565535402,0.25202838837780694
M2,2016-02-01,0.8107490729033322,0.740170582819264,0.8813275629874004,4.059712923674551,2.461880109418515,0.14155432078637825,0.2520283891974095
M2,2016-03-01,0.8107029834898829,0.7406254814799457,0.8807804854998201,4.101939514475506,2.487345633334424,0.14158879422635526,0.2520283898991722
M2,2016-04-01,0.8099941860656787,0.7403018778501012,0.8796864942812563,4.1698728134282534,2.526328513713936,0.14211895438017516,0.25202839093491614
M2,2016-05-01,0.8095476647244519,0.7401760059962145,0.8789193234526894,4.22769649108077,2.559949150798828,0.14245293949361038,0.25202839184141135
M2,2016-06-01,0.8089166285192276,0.7398771110083282,0.8779561460301271,4.2930556033776535,2.5974989998936144,0.142924936466618,0.2520283928473615
M2,2016-07-01,0.8089020282727581,0.7401690826538121,0.8776349738917042,4.334842789222335,2.6227348561707227,0.142935856903336,0.2520283935438554
M2,2016-08-01,0.8091342862978794,0.7406867361606201,0.8775818364351388,4.367276933946218,2.6431173650945334,0.14276213438680327,0.2520283941116391
M2,2016-09-01,0.8095603600309884,0.7413452472697253,0.8777754727922515,4.392605073008416,2.659846077019742,0.1424434432428317,0.25202839458208315
M2,2016-10-01,0.8097838259820399,0.7417250663371575,0.8778425856269223,4.425158328132482,2.680297636061131,0.1422762969481448,0.25202839515260594
M2,2016-11-01,0.809937744213337,0.7420183474068751,0.8778571410197988,4.46026909251162,2.7020775541333264,0.14216117036649012,0.2520283957585975
M2,2016-12-01,0.8106747013098506,0.7428197840926816,0.8785296185270197,4.474539774593237,2.713189350230764,0.14160994732407564,0.25202839607909383
M2,2017-01-01,0.8121006003907453,0.7442470655616129,0.8799541352198776,4.46382367281218,2.7114523280251914,0.1405434153083778,0.252028396042541
M2,2017-02-01,0.8131288019156528,0.745307775981059,0.8809498278502467,4.468786883866283,2.717903911635723,0.1397743497283549,0.2520283962365052
M2,2017-03-01,0.8145951641349467,0.7469215914274584,0.882268736842435,4.4549778999497045,2.714391533529942,0.13867755244063307,0.2520283961656244
M2,2017-04-01,0.8155632717324329,0.748110630549162,0.8830159129157038,4.461896151740174,2.7218377171971277,0.13795343540687444,0.2520283963899973
M2,2017-05-01,0.817268841054408,0.750113433272639,0.884424248836177,4.4384975898507335,2.7132264387245213,0.13667771802091364,0.2520283961991986
M2,2017-06-01,0.8178319178680054,0.7510202549258512,0.8846435808101595,4.461136498193731,2.7289443398911732,0.13625655246759263,0.25202839667124344
M2,2017-07-01,0.8181404462231565,0.7517814270850827,0.8844994653612304,4.4943578294201485,2.7503034909256683,0.1360257819074283,0.2520283972853963
M2,2017-08-01,0.8187700812902126,0.7528993568527235,0.8846408057277017,4.515304472635025,2.765248178845128,0.13555483267581042,0.2520283977344757
M2,2017-09-01,0.8188385726272538,0.7532498028440018,0.8844273424105058,4.554614398901265,2.789555565242498,0.13550360297344236,0.25202839843694314
M2,2017-10-01,0.8199238180325529,0.7545889060960754,0.8852587299690303,4.557628674438462,2.7951012882625914,0.13469187019510154,0.2520283986282529
M2,2017-11-01,0.8207567347516891,0.755724641028384,0.8857888284749942,4.570247735659576,2.805687556913309,0.13406887208266385,0.2520283989641992
M2,2017-12-01,0.8221767099385304,0.757550824581601,0.8868025952954599,4.5597728447380055,2.8040999325982483,0.13300677096823307,0.2520283989669996
M2,2018-01-01,0.8234058731694708,0.7591670690266079,0.8876446773123337,4.556141800547252,2.8060557896992995,0.1320873917604589,0.25202839906890995
M2,2018-02-01,0.8246645149516676,0.7604783574636267,0.8888506724397085,4.551626033467601,2.807559629325968,0.13114596343594515,0.2520283991583687
M2,2018-03-01,0.825635051213349,0.7614492900126815,0.8898208124140166,4.557337652456529,2.8143910257946643,0.13042002983259082,0.25202839939941246
M2,2018-04-01,0.8271642168654995,0.7630458119873502,0.8912826217436487,4.541004754333388,2.8094984954826785,0.129276257366326,0.252028399317499
M2,2018-05-01,0.8284558160073343,0.7644326234218545,0.8924790085928141,4.534095074122635,2.80960380449663,0.12831017787889132,0.2520283993750717
M2,2018-06-01,0.829946230807236,0.7660765520704903,0.8938159095439816,4.51900654980252,2.8052917622979483,0.12719538994586246,0.25202839931362886
M2,2018-07-01,0.8313189552980909,0.7675930105821822,0.8950449000139995,4.508640279255681,2.803485914814635,0.12616863101005946,0.25202839932001264
M2,2018-08-01,0.8325226037989482,0.7689722528294305,0.8960729547684658,4.505461375916808,2.8055655067444194,0.12526833609573368,0.25202839943037664
M2,2018-09-01,0.8340272988528491,0.7708520119265276,0.8972025857791706,4.484562842645384,2.7975991596410723,0.12414286695349659,0.2520283992761442
M2,2018-10-01,0.8355869908984364,0.7728881851245172,0.8982857966723555,4.461164810841982,2.7882072145645864,0.1229762616290112,0.2520283990846217
M2,2018-11-01,0.8365267848431727,0.7741379679341068,0.8989156017522385,4.460107084068474,2.7906813238426227,0.12227332242832248,0.25202839920276776
M2,2018-12-01,0.837770514028721,0.7755915082748573,0.8999495197825848,4.447700314590371,2.7870560101440764,0.12134304832510605,0.25202839916173714
M2,2019-01-01,0.8393241884787572,0.7774805557743371,0.9011678211831774,4.420041684264342,2.7748608734064097,0.12018094400330594,0.2520283988892943
M2,2019-02-01,0.8406445817910924,0.7793428347827547,0.90194632879943,4.407692572882483,2.771461327597566,0.11919332730971179,0.25202839884957806
M2,2019-03-01,0.8417928149978531,0.7810097722563357,0.9025758577393704,4.4020895104313125,2.771718959695269,0.11833448147161459,0.25202839889978
M2,2019-04-01,0.8428335547782893,0.782477847577982,0.9031892619785965,4.400392230057331,2.774075746631945,0.11755603765535261,0.252028399003876
M2,2019-05-01,0.8435787626466702,0.783639693147757,0.9035178321455833,4.4100227543701935,2.7826050996961027,0.11699864329130977,0.2520283992701761
M2,2019-06-01,0.8441458386207632,0.7844762892538948,0.9038153879876316,4.42574191731353,2.794400673308315,0.11657448651250478,0.25202839962132023
M2,2019-07-01,0.8443410160693294,0.7848335987289065,0.9038484334097524,4.454693250736705,2.813330787785453,0.11642849923983237,0.25202840016167155
M2,2019-08-01,0.8452600689793766,0.7857201313831036,0.9048000065756495,4.459016276706213,2.819126205661616,0.11574107373428671,0.25202840035607266
M2,2019-09-01,0.8464129277768577,0.7866880699092809,0.9061377856444346,4.4547365547614,2.8202617790120046,0.11487876808540158,0.25202840042098373
M2,2019-10-01,0.8476793477263723,0.7878388393577652,0.9075198560949794,4.4446897026714645,2.818111404301723,0.11393152193383409,0.25202840039597285
M2,2019-11-01,0.8491625803734129,0.7893596865221748,0.9089654742246509,4.417023446736784,2.805470206388513,0.11282210608350217,0.2520284000959153
M2,2019-12-01,0.8509912773769983,0.7913419468851379,0.9106406078688587,4.365888096457062,2.778963337313988,0.11145429275737283,0.2520283994423815
M2,2020-01-01,0.8525620785618824,0.7930667741445836,0.9120573829791812,4.328340092577,2.760148814953132,0.1102793781481948,0.252028398986342
M2,2020-02-01,0.853895556176107,0.7944479808572971,0.913343131494917,4.301613384014558,2.747395845638303,0.1092819748068617,0.2520283986804351
M2,2020-03-01,0.8549631236739159,0.7956597221116767,0.9142665252361551,4.2966456532774036,2.7476539227409167,0.10848346463352336,0.25202839869757165
M2,2020-04-01,0.8562300877061558,0.7971894942683583,0.9152706811439534,4.268822441247446,2.733906672739726,0.10753581156190307,0.25202839838897584
M2,2020-05-01,0.8575801751424612,0.7988981278770994,0.9162622224078231,4.23429379138879,2.716069195525963,0.10652598455784597,0.2520283979817912
M2,2020-06-01,0.8590250316555799,0.8008003532561746,0.9172497100549851,4.192577289412802,2.6938412970850334,0.1054452729892889,0.2520283974693126
M2,2020-07-01,0.8602348339105129,0.8025849185115842,0.9178847493094416,4.169811402139456,2.6829868688368808,0.10454037529152078,0.2520283972289131
M2,2020-08-01,0.8614921869541801,0.8045309220291355,0.9184534518792247,4.144191370067207,2.670399605483218,0.10359991095896336,0.2520283969490492
M2,2020-09-01,0.8626428582184117,0.8064755339528242,0.9188101824839991,4.124155465511189,2.661038571021223,0.1027392415568722,0.2520283967451946
M2,2020-10-01,0.863355183479774,0.8079307258780855,0.9187796410814626,4.12036669098405,2.6607892585746136,0.1022064424874638,0.2520283967571112
M2,2020-11-01,0.8639260047494497,0.8090939008121355,0.9187581086867639,4.1210959236474896,2.6630197066540027,0.10177948437746451,0.25202839682879874
M2,2020-12-01,0.8646064749536473,0.8101889692103055,0.9190239806969891,4.118536071557899,2.663461771458575,0.10127051198428498,0.2520283968556514
M2,2021-01-01,0.865079063594689,0.81091065874523,0.919247468444148,4.122094165444055,2.667219883987953,0.10091702908565335,0.2520283969680414
M2,2021-02-01,0.8649469964091787,0.8110621964285614,0.9188317963897961,4.145420705891929,2.6819039322285985,0.1010158115369554,0.2520283973616055
M2,2021-03-01,0.8656753030857778,0.8120625223181118,0.9192880838534437,4.142525339602147,2.68228741001881,0.10047105881979143,0.25202839739924526
M2,2021-04-01,0.86604215621136,0.8124523110070077,0.9196320014157124,4.1494623749989055,2.6879177382922235,0.10019666307584875,0.25202839757603085
M2,2021-05-01,0.8665669655045534,0.8128007374230611,0.9203331935860456,4.152001505855351,2.6911923600500938,0.09980412061250389,0.25202839769105506
M2,2021-06-01,0.8676598280479334,0.81366415837999,0.9216554977158768,4.137157111415818,2.6849525437303035,0.09898669048299855,0.2520283975537574
