fecha_inicio,fecha_fin,ventana,n_obs,alpha,alpha_se_hac,alpha_p_value,rho,rho_se_hac,rho_p_value,rho_estable,beta_corto_plazo,beta_se_hac,beta_t_hac,beta_p_value,beta_ic_inf,beta_ic_sup,gamma_tc,gamma_se_hac,gamma_p_value,beta_largo_plazo,beta_largo_plazo_se,beta_largo_plazo_ic_inf,beta_largo_plazo_ic_sup,r_squared,adj_r_squared
2016-09-01,2019-08-01,36,36,0.26705052528944395,NA,NA,0.33616840964789135,NA,NA,NA,0.12087013174990532,0.02615395765743808,4.6214853343822835,5.949905476628847e-5,0.06960931668814113,0.17213094681166952,-0.0035707055712653414,0.005995104795215463,0.5556295415479204,0.18207951159087438,0.04002190777883655,0.10363801375177131,0.26052100942997747,0.5165165129566046,0.47118993604628634
2016-10-01,2019-09-01,36,36,0.2696563602694869,NA,NA,0.33706199701519374,NA,NA,NA,0.12216233432982593,0.023696272036802274,5.155339799445993,1.2647723117217854e-5,0.07571849456982989,0.16860617408982198,-0.0037345384797738573,0.006245482885587858,0.5540764818741772,0.18427414596810457,0.03873140556071433,0.10836198599849012,0.260186305937719,0.5332006434718171,0.48943820379729996
2016-11-01,2019-10-01,36,36,0.28119209752398794,NA,NA,0.3248936596786737,NA,NA,NA,0.1103668507172777,0.01849123518527284,5.968603482215092,1.1887117311942243e-6,0.0741246957244831,0.1466090057100723,-0.005056020001828632,0.006694004945335528,0.45558934709163224,0.16348069056016723,0.030188538401920196,0.1043122425464993,0.22264913857383517,0.5539868528273235,0.5121731202798852
2016-12-01,2019-11-01,36,36,0.28718622318873166,NA,NA,0.3133155512055814,NA,NA,NA,0.10033567401464628,0.01748971396787295,5.736839047165323,2.328375851810177e-6,0.06605646453770819,0.13461488349158438,-0.005323767555270326,0.006843846656477621,0.442346936340689,0.146116129746059,0.028325949228522163,0.09059828943024545,0.20163397006187256,0.5548286959046438,0.5130938861457042
2017-01-01,2019-12-01,36,36,0.274244578769039,NA,NA,0.32543696784828696,NA,NA,NA,0.10471975773340379,0.016454807037654555,6.364082999804682,3.79891460186158e-7,0.07246892856704465,0.13697058689976294,-0.00403951987071353,0.0060696867477273014,0.510484637245074,0.1552408785274965,0.02602276820647933,0.10423719006476304,0.20624456699022994,0.56418239982429,0.5233244998078171
2017-02-01,2020-01-01,36,36,0.23760167008620714,NA,NA,0.41265157939445435,NA,NA,NA,0.104637370998834,0.01743912815658518,6.000149208108315,1.084964242958401e-6,0.07045730789014867,0.13881743410751932,-0.0030316502085299636,0.005463479890565166,0.5828256422400502,0.17815212798385452,0.03058065103539955,0.1182151533306839,0.23808910263702515,0.6045701585227932,0.567498610884305
2017-03-01,2020-02-01,36,36,0.21305866775282925,NA,NA,0.4554841517046986,NA,NA,NA,0.1178689725929747,0.0217938757623205,5.408352964769981,6.054564076817676e-6,0.07515376101528612,0.16058418417066328,-7.497065081955454e-4,0.005233427336209434,0.886988300781254,0.2164656418394127,0.050887079008912935,0.11672879970349917,0.31620248397532624,0.6754112229581274,0.6449810251104519
2017-04-01,2020-03-01,36,36,0.24125484257751403,NA,NA,0.40529399151392487,NA,NA,NA,0.10969040923932287,0.015864684392564207,6.914124890548398,7.924473996071913e-8,0.07859619920380233,0.14078461927484343,-0.004001308614222752,0.005341576767545385,0.45927584500761587,0.18444476375572258,0.024813994046019253,0.1358102291129335,0.23307929839851166,0.7107587618733039,0.6836423957989262
2017-05-01,2020-04-01,36,36,0.22388610425252084,NA,NA,0.434223263446987,NA,NA,NA,0.107882697449952,0.015529933558699702,6.9467584675864424,7.22691171399575e-8,0.07744458699260065,0.13832080790730336,-0.0014576165303919128,0.006702085699533431,0.8292096665730517,0.1906806881230675,0.020929857705295995,0.1496589208191392,0.23170245542699577,0.7504221977764468,0.7270242788179887
2017-06-01,2020-05-01,36,36,0.22690670322096354,NA,NA,0.45860857505844693,NA,NA,NA,0.10669079845920602,0.013968995694451428,7.637685685706401,1.0542366173686268e-8,0.07931206999788615,0.1340695269205259,-0.0071563738402577745,0.003280310648765587,0.036595970077848636,0.19706776565721196,0.01854799678655784,0.16071435997019395,0.23342117134422996,0.8275435799455497,0.8113757905654451
