fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,exp12_lag1,shock_inf,beta_t,se_beta_t,beta_li_95,beta_ls_95,indice_anclaje,beta_constante,beta_constante_li_95,beta_constante_ls_95,diferencia_tvp_menos_constante,residuo_estandarizado_constante,residuo_estandarizado_tvp
2014-06-01,4.24,4.36,3.13,0.08000000000000007,-0.3799999999999999,4.19,-1.0600000000000005,0.10830513756096376,0.026496438250308132,0.05637307287177035,0.16023720225015717,-0.10830513756096376,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.35804184878781353,0.38625785404068436
2014-07-01,4.24,4.41,3.41,0.04999999999999982,0.08000000000000007,4.24,-0.8300000000000001,0.1077303360661771,0.026482939390793506,0.05582472865546472,0.15963594347688947,-0.1077303360661771,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.8714150913175591,0.9149026841489692
2014-08-01,4.09,4.06,3.7,-0.35000000000000053,0.04999999999999982,4.24,-0.54,0.1073438280606856,0.02646160706584494,0.05548003123857891,0.15920762488279228,-0.1073438280606856,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-1.6448132987017483,-1.7221702833524721
2014-09-01,4.24,4.13,3.45,0.07000000000000028,-0.35000000000000053,4.09,-0.6399999999999997,0.10671645178720254,0.026418142134262607,0.05493784466558773,0.15849505890881735,-0.10671645178720254,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.042619476063536305,0.04937075105382541
2014-10-01,4.08,4.17,3.64,0.040000000000000036,0.07000000000000028,4.24,-0.6000000000000001,0.10610080096491961,0.026353337242626115,0.05444920909693434,0.15775239283290488,-0.10610080096491961,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.6437406170089068,0.6784483599298473
2014-11-01,4.16,4.16,3.38,-0.009999999999999787,0.040000000000000036,4.08,-0.7000000000000002,0.10558563757056794,0.02626858289718553,0.05410016116717948,0.1570711139739564,-0.10558563757056794,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.36787467714847677,0.3852890104486439
2014-12-01,4.2,4.21,2.95,0.04999999999999982,-0.009999999999999787,4.16,-1.21,0.10513514115477345,0.026167890073282383,0.05384701905973679,0.1564232632498101,-0.10513514115477345,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.9724588115132816,0.9970950926893632
2015-01-01,3.75,3.89,2.32,-0.31999999999999984,0.04999999999999982,4.2,-1.8800000000000003,0.10497656390455218,0.026085493487866086,0.053849936149380544,0.1561031916597238,-0.10497656390455218,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-0.502093640915861,-0.5637253549464499
2015-02-01,3.79,4.07,2.44,0.18000000000000016,-0.31999999999999984,3.75,-1.31,0.10446543377622423,0.02609988592399321,0.05331059736459364,0.15562027018785482,-0.10446543377622423,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,1.1660066521254255,1.1912000003065346
2015-03-01,3.82,4.11,2.43,0.040000000000000036,0.18000000000000016,3.79,-1.3599999999999999,0.10435419014793311,0.026136975660657143,0.053126659188245134,0.15558172110762108,-0.10435419014793311,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,1.3433304340351016,1.335065556343161
2015-04-01,3.62,3.82,2.58,-0.2900000000000005,0.040000000000000036,3.82,-1.2399999999999998,0.10470511859594056,0.026210569180373566,0.05333334698811286,0.15607689020376825,-0.10470511859594056,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-0.8805353454881346,-0.9932934106144448
2015-05-01,3.46,3.57,2.55,-0.25,-0.2900000000000005,3.62,-1.0700000000000003,0.10474653830406003,0.026307514498232876,0.05318475736475829,0.15630831924336175,-0.10474653830406003,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-1.3708281121108767,-1.4695088106737848
2015-06-01,3.25,3.67,2.39,0.10000000000000009,-0.25,3.46,-1.0699999999999998,0.1043873645371759,0.026409668611766406,0.052625365214475826,0.15614936385987596,-0.1043873645371759,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.6848693401456267,0.6943354921325435
2015-07-01,3.16,3.56,2.32,-0.10999999999999988,0.10000000000000009,3.25,-0.9300000000000002,0.10421912041527318,0.026518473683924095,0.05224386706980875,0.1561943737607376,-0.10421912041527318,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.04608031222465619,0.024315722654710124
2015-08-01,3.04,3.31,1.96,-0.25,-0.10999999999999988,3.16,-1.2000000000000002,0.10405435928607557,0.02662906351628658,0.05186235385212435,0.1562463647200268,-0.10405435928607557,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-0.9278264052937127,-0.9924366969262198
2015-09-01,3.06,3.4,1.88,0.08999999999999986,-0.25,3.04,-1.1600000000000001,0.10356764953621855,0.02676109848344689,0.0511168603219332,0.15601843875050392,-0.10356764953621855,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.6954200083212163,0.713658368757542
2015-10-01,2.94,3.28,2.23,-0.1200000000000001,0.08999999999999986,3.06,-0.8300000000000001,0.10328517418418363,0.02691028653331453,0.050541981765233945,0.15602836660313332,-0.10328517418418363,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-0.09251268906222775,-0.1103048323646936
2015-11-01,3.02,3.37,2.51,0.0900000000000003,-0.1200000000000001,2.94,-0.43000000000000016,0.10297496354716001,0.027057597000049925,0.049943047918863163,0.15600687917545686,-0.10297496354716001,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.39777095752739655,0.4132180746535053
2015-12-01,3.17,3.65,3.07,0.2799999999999998,0.0900000000000003,3.02,0.04999999999999982,0.10271756476764622,0.027184087073414166,0.04943773315115363,0.15599739638413881,-0.10271756476764622,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,1.4783643279634597,1.5577855239923672
2016-01-01,3.62,3.8,4.38,0.1499999999999999,0.2799999999999998,3.17,1.21,0.10243824643956442,0.027286225947676584,0.04895822630809603,0.1559182665710328,-0.10243824643956442,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.1640196427329031,0.1933910071049424
