date,inflation,exp12,exp24,target,beta,credibility,anchor
2014-01,4.14,4.73,4.94,4,,0.7865771630361802,4.9088078593343365
2014-02,3.5,4.56,4.68,4,,0.7882644434271114,4.841477997415751
2014-03,3.25,4.46,4.54,4,,0.7895875690842271,4.7896077574947515
2014-04,3.27,4.51,4.66,4,,0.7908328375327702,4.741652444442889
2014-05,3.22,4.19,4.28,4,,0.7928479267873748,4.654506947991689
2014-06,3.13,4.24,4.36,4,,0.7942459058366722,4.599016458181067
2014-07,3.41,4.24,4.41,4,,0.795845776427025,4.533395768333856
2014-08,3.7,4.09,4.06,4,,0.7979383698662437,4.442310222508344
2014-09,3.45,4.24,4.13,4,,0.7991610075812422,4.393605990604021
2014-10,3.64,4.08,4.17,4,,0.8000576696529969,4.359641800467286
2014-11,3.38,4.16,4.16,4,,0.8009715691756919,4.324934300862076
2014-12,2.95,4.2,4.21,4,,0.8017836347602483,4.29491329162734
2015-01,2.32,3.75,3.89,4,0.16386196918645674,0.8029306416822632,4.248804791160133
2015-02,2.44,3.79,4.07,4,0.16217420402462254,0.803534011100173,4.232373022698399
2015-03,2.43,3.82,4.11,4,0.16233990373532264,0.8046934234925942,4.178375310716977
2015-04,2.58,3.62,3.82,4,0.16764216620751204,0.8064603188267254,4.085482823495962
2015-05,2.55,3.46,3.57,4,0.16972560754638483,0.8081362489279219,3.9988390754065306
2015-06,2.39,3.25,3.67,4,0.16531126432001605,0.8092686170390426,3.945492385531582
2015-07,2.32,3.16,3.56,4,0.15831779219790998,0.8104553360097457,3.8889718352391807
2015-08,1.96,3.04,3.31,4,0.15086607303260502,0.8114708036686775,3.843706014020341
2015-09,1.88,3.06,3.4,4,0.15434660939448525,0.8118151900545256,3.8431779214002337
2015-10,2.23,2.94,3.28,4,0.1716941599129347,0.812059333770687,3.8504573419358477
2015-11,2.51,3.02,3.37,4,0.1841002604243246,0.8119078696895189,3.8897877332145825
2015-12,3.07,3.17,3.65,4,0.18928828117655516,0.8114106087983365,3.953057355356788
2016-01,4.38,3.62,3.8,4,0.1848226554265106,0.8110526193541631,4.007749708558288
2016-02,4.27,3.94,4.09,4,0.17971683327140803,0.8107482774606718,4.059712079199239
2016-03,4.26,3.99,3.99,4,0.1667602330370823,0.8107021176398724,4.1019386414077825
2016-04,4.09,4.18,4.19,4,0.1707095728714983,0.8099931669321285,4.169872282314616
2016-05,4.36,4.15,4.16,4,0.16607293600272052,0.8095465231899278,4.2276962536546305
2016-06,4.43,4.33,4.39,4,0.15696510487181145,0.8089153421997988,4.293055756790912
2016-07,4.62,4.28,4.41,4,0.16058453249621116,0.8089006718509466,4.334843078820121
2016-08,4.74,4.4,4.45,4,0.16523805174089298,0.8091328904313724,4.3672772249746785
2016-09,4.56,4.43,4.42,4,0.14167429783893992,0.8095589468414257,4.392605326788627
2016-10,4.76,4.42,4.43,4,0.134743889568457,0.8097823666707759,4.425158795381076
2016-11,4.67,4.67,4.6,4,0.14593279721543914,0.8099362270369392,4.46026993316075
2016-12,4.23,4.68,4.66,4,0.15606179211095922,0.8106731937501401,4.474540816613412
2017-01,3.83,4.42,4.4,4,0.11733822986302024,0.8120991870901979,4.4638245374298435
2017-02,3.96,4.4,4.46,4,0.11616112413704122,0.8131274354733261,4.468787725717729
2017-03,4,4.22,4.28,4,0.10857641864377121,0.814593901661735,4.45497835642318
2017-04,4.09,4.38,4.51,4,0.11409540944988343,0.8155620525315019,4.461896456859612
2017-05,3.93,4.2,4.17,4,0.10761618143497508,0.8172677581592119,4.438497274131688
2017-06,4.36,4.17,4.26,4,0.10736933346421998,0.8178308309252756,4.461136137089361
2017-07,5.22,4.33,4.48,4,0.10914284711483695,0.8181393225509027,4.494357609253423
2017-08,4.72,4.48,4.51,4,0.09235221771386619,0.8187689588981866,4.515304282753132
2017-09,4.36,4.6,4.75,4,0.13043532137613514,0.8188373736049588,4.554614844424268
2017-10,4.2,4.5,4.53,4,0.11722791635904568,0.8199226676168023,4.5576291935865765
2017-11,4.69,4.49,4.63,4,0.12328458913518735,0.8207556045228059,4.570248363058051
2017-12,5.68,4.53,4.56,4,0.13389746400217792,0.8221756745627711,4.5597731737131335
2018-01,4.71,4.88,4.71,4,0.1550107088929895,0.8234049077260558,4.556141988203458
2018-02,4.15,4.67,4.56,4,0.150186510249559,0.824663612159448,4.551626395738272
2018-03,4.14,4.55,4.62,4,0.15034743181985225,0.8256341753759368,4.557338351186382
2018-04,3.92,4.42,4.46,4,0.15017241748098964,0.8271634394589085,4.5410053965225385
2018-05,4.09,4.31,4.48,4,0.15138522728181622,0.828455108776358,4.534095743539866
2018-06,3.79,4.35,4.43,4,0.1580462276674755,0.8299456191218282,4.519007114327341
2018-07,2.61,4.26,4.36,4,0.15443832702296603,0.8313184240886825,4.508640822759562
2018-08,3.36,4.07,4.33,4,0.1434621158100843,0.8325221320766294,4.505461986461577
2018-09,4.55,4.12,4.32,4,0.1433256837415917,0.8340269276799814,4.484563173866413
2018-10,4.34,4.3,4.32,4,0.13926619640233795,0.8355867281473005,4.461164794134873
2018-11,3.15,4.44,4.47,4,0.14214553451904102,0.8365265486326373,4.460107221444566
2018-12,2.31,4.24,4.38,4,0.13445366936727118,0.8377703403251707,4.447700517843288
2019-01,4.1,4.03,4.07,4,0.13812449804804208,0.8393241200086851,4.420041609572608
2019-02,4.46,4.23,4.25,4,0.1382872672566927,0.8406445924128174,4.407692125865405
2019-03,4.17,4.34,4.35,4,0.1400896879185425,0.8417928789744076,4.402088946022978
2019-04,4.75,4.32,4.3,4,0.1512885068255319,0.8428336571601267,4.400391659474777
2019-05,4.54,4.42,4.39,4,0.14285418954440463,0.8435788673117114,4.410022296083412
2019-06,4.8,4.4,4.36,4,0.14596706683380276,0.8441459212862408,4.425741734136706
