fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,exp12_lag1,shock_inf,dummy_sep2012,beta_t,se_beta_t,beta_li_95,beta_ls_95,indice_anclaje,beta_constante,beta_constante_li_95,beta_constante_ls_95,diferencia_tvp_menos_constante,residuo_estandarizado_constante,residuo_estandarizado_tvp
2011-12-01,5.94,5.62,6.200000000000003,-0.4399999999999995,-0.4500000000000002,6.85,-0.6499999999999968,0,0.1349349550685967,0.029065429795685882,0.077967759473875,0.1919021506633184,-0.1349349550685967,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09403995759049816,NA,NA
2012-01-01,5.97,5.95,5.44,0.33000000000000007,-0.4399999999999995,5.94,-0.5,0,0.1345384981086711,0.028553183874430427,0.07857528607083764,0.19050171014650458,-0.1345384981086711,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09364350063057256,NA,NA
2012-02-01,6,6.11,5.17,0.16000000000000014,0.33000000000000007,5.97,-0.7999999999999998,0,0.13438331602403922,0.028021106878005755,0.07946295573620035,0.18930367631187808,-0.13438331602403922,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09348831854594067,NA,NA
2012-03-01,5.59,5.47,4.55,-0.6400000000000006,0.16000000000000014,6,-1.4500000000000002,0,0.13475207145420875,0.02749070166800766,0.08087128627517856,0.18863285663323895,-0.13475207145420875,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.0938570739761102,NA,NA
2012-04-01,5.84,5.54,4.27,0.07000000000000028,-0.6400000000000006,5.59,-1.3200000000000003,0,0.13398748614579478,0.027029641770328808,0.08101036176093086,0.18696461053065871,-0.13398748614579478,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09309248866769623,NA,NA
2012-05-01,5.26,5.28,3.9,-0.2599999999999998,0.07000000000000028,5.84,-1.94,0,0.1333419627497876,0.02660314669838563,0.08120075334551613,0.18548317215405907,-0.1333419627497876,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09244696527168905,NA,NA
2012-06-01,4.89,5.11,3.47,-0.16999999999999993,-0.2599999999999998,5.26,-1.7899999999999996,0,0.13270903216357127,0.02631538559536708,0.08113182415736768,0.18428624016977485,-0.13270903216357127,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09181403468547272,NA,NA
2012-07-01,4.71,4.9,2.86,-0.20999999999999996,-0.16999999999999993,4.89,-2.03,0,0.13200027347321894,0.02612817067487668,0.08078999996854505,0.18321054697789282,-0.13200027347321894,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09110527599512039,NA,NA
2012-08-01,4.44,4.55,2.71,-0.35000000000000053,-0.20999999999999996,4.71,-2,0,0.13126779786935777,0.026083494137612667,0.08014508876867532,0.18239050697004022,-0.13126779786935777,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09037280039125922,NA,NA
2012-09-01,4.91,5.17,3.28,0.6200000000000001,-0.35000000000000053,4.44,-1.1600000000000006,1,0.12991950338031047,0.026173816746144253,0.0786197652199164,0.18121924154070454,-0.12991950338031047,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.08902450590221192,NA,NA
