fecha,direccion_rolling_36,direccion_rolling_lp_36,direccion_tvp_base,coincide_rolling36_tvp,coincide_rolling_lp_tvp
2022-04-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2022-05-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2022-06-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2022-07-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2022-08-01,Aumento de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,FALSE,TRUE
2022-09-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2022-10-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2022-11-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2022-12-01,Aumento de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,FALSE,TRUE
2023-01-01,Aumento de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,FALSE,TRUE
2023-02-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2023-03-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2023-04-01,Reducción de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,FALSE,TRUE
2023-05-01,Reducción de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,FALSE,TRUE
2023-06-01,Reducción de sensibilidad,Reducción de sensibilidad,Aumento de sensibilidad,FALSE,FALSE
2023-07-01,Reducción de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,FALSE,TRUE
2023-08-01,Reducción de sensibilidad,Reducción de sensibilidad,Aumento de sensibilidad,FALSE,FALSE
2023-09-01,Aumento de sensibilidad,Reducción de sensibilidad,Aumento de sensibilidad,TRUE,FALSE
2023-10-01,Reducción de sensibilidad,Reducción de sensibilidad,Aumento de sensibilidad,FALSE,FALSE
2023-11-01,Reducción de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,FALSE,TRUE
2023-12-01,Reducción de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,FALSE,TRUE
2024-01-01,Reducción de sensibilidad,Reducción de sensibilidad,Aumento de sensibilidad,FALSE,FALSE
2024-02-01,Reducción de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,FALSE,TRUE
2024-03-01,Aumento de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,TRUE,TRUE
2024-04-01,Aumento de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,TRUE,TRUE
