fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,error_pronostico_12m_t,inflacion_realizada_t_1,expectativa_12m_correspondiente_t_13,sorpresa_inflacionaria,alpha,se_alpha,alpha_li_95,alpha_ls_95,rho,se_rho,rho_li_95,rho_ls_95,beta_t,se_beta_t,beta_li_95,beta_ls_95,sensibilidad_absoluta_t,beta_significativamente_positivo,beta_significativamente_negativo,beta_no_distinto_cero,sensibilidad_baja_descriptiva,ajustado_constante,ajustado_tvp,residuo_tvp,residuo_estandarizado
2012-01-01,5.97,5.95,5.44,0.33000000000000007,-0.4399999999999995,-0.5499999999999998,6.2,5.71,0.4900000000000002,-0.007628904176690124,0.014147265757679772,-0.035357035541459234,0.020099227188078984,-0.26902524636111874,0.07173708750344528,-0.4096273542236698,-0.12842313849856765,0.024959531855711092,0.011924253278122562,0.0015884248880571987,0.04833063882336498,0.024959531855711092,TRUE,FALSE,FALSE,TRUE,0.11481517886263329,0.12297237483150043,0.20702762516849965,2.0685538724237746
2012-02-01,6,6.11,5.17,0.16000000000000014,0.33000000000000007,-0.33000000000000007,5.44,5.99,-0.5499999999999998,-0.007628904176690141,0.014147265757679621,-0.035357035541458956,0.02009922718807867,-0.2690252463611188,0.07173708750344529,-0.4096273542236699,-0.12842313849856768,0.02492473313829223,0.01185713783730408,0.0016851700174490905,0.04816429625913537,0.02492473313829223,TRUE,FALSE,FALSE,TRUE,-0.10586871454293659,-0.11011583870192009,0.27011583870192024,2.0463040518490128
2012-03-01,5.59,5.47,4.55,-0.6400000000000006,0.16000000000000014,-1.6900000000000004,5.17,5.5,-0.33000000000000007,-0.007628904176690118,0.014147265757679607,-0.0353570355414589,0.020099227188078668,-0.2690252463611188,0.07173708750344528,-0.4096273542236699,-0.1284231384985677,0.02489875032278429,0.011789672384108585,0.0017914170604049935,0.04800608358516359,0.02489875032278429,TRUE,FALSE,FALSE,TRUE,-0.057307133753375684,-0.058889531200987985,-0.5811104687990126,-2.6077774811627243
2012-04-01,5.84,5.54,4.27,0.07000000000000028,-0.6400000000000006,-1.8000000000000007,4.55,6.24,-1.6900000000000004,-0.0076289041766901145,0.014147265757679786,-0.03535703554145925,0.020099227188079022,-0.2690252463611188,0.07173708750344523,-0.4096273542236698,-0.1284231384985678,0.0248613879163935,0.011721683320555797,0.001887310769920273,0.04783546506286673,0.0248613879163935,TRUE,FALSE,FALSE,TRUE,0.13113086962429696,0.12253150791572104,-0.052531507915720754,1.3313183703220013
2012-05-01,5.26,5.28,3.9,-0.2599999999999998,0.07000000000000028,-2.06,4.27,6.07,-1.8000000000000007,-0.007628904176690104,0.014147265757679748,-0.035357035541459164,0.020099227188078952,-0.2690252463611188,0.07173708750344522,-0.4096273542236698,-0.12842313849856782,0.02481875733029216,0.011654216943354228,0.0019769118533013996,0.04766060280728292,0.02481875733029216,TRUE,FALSE,FALSE,TRUE,-0.058148862655446255,-0.0711344346164944,-0.1888655653835054,0.07846483625386506
2012-06-01,4.89,5.11,3.47,-0.16999999999999993,-0.2599999999999998,-2.9099999999999997,3.9,5.96,-2.06,-0.007628904176690104,0.014147265757679729,-0.03535703554145912,0.020099227188078918,-0.2690252463611188,0.0717370875034452,-0.4096273542236697,-0.12842313849856787,0.024755953335005996,0.011588114482216005,0.002043666301135616,0.047468240368876376,0.024755953335005996,TRUE,FALSE,FALSE,TRUE,0.024619279408989968,0.011320396007088368,-0.1813203960070883,0.22165784589645912
2012-07-01,4.71,4.9,2.86,-0.20999999999999996,-0.16999999999999993,-3.1,3.47,6.38,-2.9099999999999997,-0.007628904176690101,0.014147265757679708,-0.03535703554145908,0.020099227188078883,-0.26902524636111874,0.0717370875034452,-0.4096273542236697,-0.12842313849856782,0.02467098433191052,0.011523631861202668,0.0020850809128550238,0.047256887750966016,0.02467098433191052,TRUE,FALSE,FALSE,TRUE,-0.013365969619369325,-0.03368717670115953,-0.17631282329884043,0.40703775904411926
2012-08-01,4.44,4.55,2.71,-0.35000000000000053,-0.20999999999999996,-3.62,2.86,5.96,-3.1,-0.007628904176690093,0.0141472657576797,-0.03535703554145906,0.020099227188078873,-0.2690252463611188,0.07173708750344521,-0.40962735422366975,-0.12842313849856785,0.02455556928288405,0.01146347346557861,0.002087574152619419,0.04702356441314868,0.02455556928288405,TRUE,FALSE,FALSE,TRUE,-0.005985832945103131,-0.0272558672177957,-0.3227441327822048,-0.33931213416915473
2012-09-01,4.91,5.17,3.28,0.6200000000000001,-0.35000000000000053,-3.4100000000000006,2.71,6.33,-3.62,-0.007628904176690101,0.014147265757679706,-0.03535703554145908,0.020099227188078876,-0.26902524636111874,0.07173708750344521,-0.4096273542236697,-0.1284231384985678,0.024380783275525005,0.011408237347729722,0.0020210489468900084,0.04674051760416,0.024380783275525005,TRUE,FALSE,FALSE,TRUE,0.022271331535480554,-0.0017285034076989086,0.621728503407699,4.367928179234206
2012-10-01,4.7,4.76,3.35,-0.41000000000000014,0.6200000000000001,-3.3400000000000003,3.28,6.69,-3.4100000000000006,-0.007628904176690108,0.014147265757679717,-0.03535703554145911,0.02009922718807889,-0.2690252463611188,0.07173708750344523,-0.4096273542236698,-0.1284231384985678,0.024339553254233013,0.011359800155177758,0.0020747540785120977,0.04660435242995393,0.024339553254233013,TRUE,FALSE,FALSE,TRUE,-0.2302925153366236,-0.25742243351751837,-0.15257756648248177,-0.2654121677336946
