fecha,lambda_base,pi_base,lambda_sel,pi_sel,dif_lambda,dif_pi
2017-01-01,0.8177040216476706,4.4751263493760325,0.8177040104655998,4.475126189844933,-1.1182070824844459e-8,-1.5953109944177868e-7
2017-02-01,0.8189160694466348,4.478296531723201,0.8189160511745132,4.478296387944802,-1.8272121593554402e-8,-1.4377839896440037e-7
2017-03-01,0.820876354257257,4.448448520037789,0.820876317323591,4.4484485535803175,-3.693366601442705e-8,3.354252875453767e-8
2017-04-01,0.8219401015218479,4.4570380568092505,0.8219400593386182,4.457038097033906,-4.218322968707611e-8,4.022465560638011e-8
2017-05-01,0.8243664815226512,4.408002087028747,0.8243664130034698,4.40800241708541,-6.851918143979674e-8,3.3005666377761145e-7
2017-06-01,0.8248450202952938,4.43971831650725,0.8248449535114858,4.439718623131514,-6.678380803926132e-8,3.066242646454498e-7
2017-07-01,0.8249130292036287,4.489013024488899,0.8249129710393162,4.4890131984943045,-5.8164312588537825e-8,1.7400540563983213e-7
2017-08-01,0.8255686502349953,4.51522921079381,0.8255685924237948,4.515229335673903,-5.781120049341837e-8,1.2488009293321056e-7
2017-09-01,0.8251918499558004,4.5762147123288,0.8251918098477555,4.576214554935899,-4.010804488530084e-8,-1.5739290049054944e-7
2017-10-01,0.8265593122771463,4.573133722282223,0.8265592638300767,4.573133581362783,-4.844706957829459e-8,-1.409194396728708e-7
2017-11-01,0.8273928607090338,4.590999323663202,0.8273928111807488,4.590999131811755,-4.9528285028799246e-8,-1.918514467291743e-7
2017-12-01,0.829184218540455,4.570080047720452,0.8291841537025074,4.570079976316534,-6.483794756650951e-8,-7.140391833360127e-8
2018-01-01,0.8305698133782207,4.564132980679441,0.830569739712093,4.564132944184388,-7.36661276423689e-8,-3.649505231351213e-8
2018-02-01,0.8319820334759156,4.557375109483174,0.8319819527108451,4.557375045401253,-8.076507052034998e-8,-6.408192110285427e-8
2018-03-01,0.8328536735729021,4.570341902578571,0.8328535932820935,4.570341737967433,-8.029080855731507e-8,-1.646111380537718e-7
2018-04-01,0.8346796991303872,4.544555972940506,0.8346796045414486,4.5445559009596295,-9.458893857061668e-8,-7.198087637050321e-8
2018-05-01,0.8360462350990079,4.537500102703654,0.8360461328581306,4.537500048947521,-1.022408773199146e-7,-5.375613287839087e-8
2018-06-01,0.8377378329945677,4.51667930760297,0.8377377183529653,4.516679326885362,-1.1464160243335186e-7,1.9282392571540186e-8
2018-07-01,0.8392065049008082,4.505030108709522,0.8392063813457684,4.505030154182693,-1.23555039754919e-7,4.547317100644932e-8
2018-08-01,0.8403504693868729,4.507548302588537,0.8403503420922858,4.50754829987799,-1.2729458709337393e-7,-2.7105473421329407e-9
2018-09-01,0.841998629156283,4.479475860828966,0.8419984900916901,4.479475957136139,-1.390645928411871e-7,9.630717290320945e-8
2018-10-01,0.8437268697335102,4.447657532922176,0.8437267178053411,4.447657737782727,-1.5192816904541218e-7,2.0486055074542264e-7
