fecha,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,error_pronostico_24m_t,inflacion_realizada_t_1,expectativa_24m_correspondiente_t_25,error_pronostico_24m_alineado,alpha,se_alpha,alpha_li_95,alpha_ls_95,rho,se_rho,rho_li_95,rho_ls_95,beta_t,se_beta_t,beta_li_95,beta_ls_95,sensibilidad_absoluta_t,beta_significativamente_positivo,beta_significativamente_negativo,beta_no_distinto_cero,sensibilidad_baja_descriptiva,ajustado_constante,ajustado_tvp,residuo_tvp,residuo_estandarizado
2020-05-01,3.96,1.8,-0.010000000000000231,-0.020000000000000018,-2.6800000000000006,1.88,4.46,-2.58,-0.008158289610453881,0.013632032112895407,-0.03487658158782233,0.018560002366914567,-0.283663294602986,0.07453428751690501,-0.42974781374947313,-0.13757877545649888,0.015587188204169166,0.006653189225319607,0.0025471769402127965,0.028627199468125537,0.015587188204169166,TRUE,FALSE,FALSE,TRUE,-0.042683392527204156,-0.0426999692851506,0.03269996928515037,0.3360496765792869
2020-06-01,3.77,2.39,-0.18999999999999995,-0.010000000000000231,-2.0399999999999996,1.8,4.48,-2.6800000000000006,-0.008158289610453881,0.01363203211289541,-0.034876581587822336,0.018560002366914574,-0.283663294602986,0.07453428751690501,-0.42974781374947313,-0.13757877545649888,0.015586571748021354,0.006652987853596715,0.0025469551653893568,0.02862618833065335,0.015586571748021354,TRUE,FALSE,FALSE,TRUE,-0.04707710055551095,-0.04709366894912119,-0.14290633105087874,-0.6758843950093636
2020-07-01,3.9,2.88,0.1299999999999999,-0.18999999999999995,-1.4800000000000004,2.39,4.43,-2.0399999999999996,-0.00815828961045388,0.013632032112895409,-0.03487658158782233,0.018560002366914574,-0.283663294602986,0.07453428751690501,-0.42974781374947313,-0.13757877545649888,0.015585859413158737,0.006652795466224251,0.0025466199028478503,0.028625098923469622,0.015585859413158737,TRUE,FALSE,FALSE,TRUE,0.013943196356488156,0.013942583161269624,0.11605741683873028,0.7133502260034497
2020-08-01,3.92,4.19,0.020000000000000018,0.1299999999999999,-0.13999999999999968,2.88,4.36,-1.4800000000000004,-0.00815828961045388,0.013632032112895412,-0.034876581587822336,0.01856000236691458,-0.28366329460298606,0.07453428751690501,-0.4297478137494732,-0.13757877545649894,0.015585206348853032,0.006652606469874347,0.002546337264581167,0.028624075433124896,0.015585206348853032,TRUE,FALSE,FALSE,TRUE,-0.06809525109528738,-0.06810062330514453,0.08810062330514455,0.6037442352472503
2020-09-01,3.99,4.97,0.07000000000000028,0.020000000000000018,0.6499999999999995,4.19,4.33,-0.13999999999999968,-0.008158289610453878,0.01363203211289541,-0.034876581587822336,0.018560002366914578,-0.28366329460298595,0.07453428751690501,-0.4297478137494731,-0.13757877545649883,0.015584585926538042,0.006652420168988202,0.002546081985293309,0.028623089867782774,0.015584585926538042,TRUE,FALSE,FALSE,TRUE,-0.016026577074079534,-0.016013397532228923,0.08601339753222921,0.411812304590788
2020-10-01,4.15,5.34,0.16000000000000014,0.07000000000000028,1.0199999999999996,4.97,4.32,0.6499999999999995,-0.008158289610453878,0.01363203211289541,-0.034876581587822336,0.018560002366914578,-0.28366329460298595,0.07453428751690501,-0.4297478137494731,-0.13757877545649883,0.015583968518825719,0.006652233715704931,0.0025458300193009972,0.02862210701835044,0.015583968518825719,TRUE,FALSE,FALSE,TRUE,-0.01790398152526382,-0.017885140695426266,0.1778851406954264,0.8742335733812702
2020-11-01,4.27,5.46,0.11999999999999922,0.16000000000000014,0.9900000000000002,5.34,4.32,1.0199999999999996,-0.00815828961045388,0.013632032112895416,-0.03487658158782234,0.018560002366914588,-0.283663294602986,0.07453428751690501,-0.42974781374947313,-0.13757877545649888,0.015583322165086004,0.006652048451435606,0.0025455467768567813,0.028621097553315225,0.015583322165086004,TRUE,FALSE,FALSE,TRUE,-0.03766770856549474,-0.03764942813854397,0.15764942813854319,0.7227294666388281
2020-12-01,4.26,4.82,-0.009999999999999787,0.11999999999999922,0.4400000000000004,5.46,4.47,0.9900000000000002,-0.008158289610453874,0.013632032112895414,-0.034876581587822336,0.018560002366914588,-0.283663294602986,0.07453428751690501,-0.42974781374947313,-0.13757877545649888,0.015582635555541634,0.006651865392112253,0.0025452189569932174,0.028620052154090053,0.015582635555541634,TRUE,FALSE,FALSE,TRUE,-0.02678992168238377,-0.026771075762825752,0.016771075762825965,-0.12407657590712798
2021-01-01,4.12,5.24,-0.13999999999999968,-0.009999999999999787,1.17,4.82,4.38,0.4400000000000004,-0.008158289610453874,0.013632032112895416,-0.034876581587822336,0.01856000236691459,-0.28366329460298595,0.07453428751690501,-0.4297478137494731,-0.13757877545649883,0.015581944789456379,0.006651684557909658,0.002544882619432221,0.02861900695948054,0.015581944789456379,TRUE,FALSE,FALSE,TRUE,0.0015154136723122729,0.001534399042936738,-0.1415343990429364,-1.020105840472621
2021-02-01,4.39,6,0.2699999999999996,-0.13999999999999968,1.75,5.24,4.07,1.17,-0.00815828961045388,0.013632032112895414,-0.03487658158782234,0.01856000236691458,-0.28366329460298595,0.07453428751690501,-0.4297478137494731,-0.13757877545649883,0.015581269613532917,0.006651504480154376,0.0025445603894235277,0.028617978837642305,0.015581269613532917,TRUE,FALSE,FALSE,TRUE,0.049756139479448895,0.04978465708179757,0.220215342918202,0.9699608983635328
2021-03-01,4.34,5.84,-0.04999999999999982,0.2699999999999996,1.4900000000000002,6,4.25,1.75,-0.00815828961045388,0.013632032112895414,-0.03487658158782234,0.01856000236691458,-0.28366329460298595,0.074534287516905,-0.429747813749473,-0.13757877545649885,0.01558052993617453,0.006651328436339559,0.002544165751601884,0.028616894120747173,0.01558052993617453,TRUE,FALSE,FALSE,TRUE,-0.05749711833939658,-0.05748145176495455,0.007481451764954725,-0.2085937525347707
2021-04-01,4.39,5.2,0.04999999999999982,-0.04999999999999982,0.9000000000000004,5.84,4.35,1.4900000000000002,-0.008158289610453881,0.013632032112895412,-0.034876581587822336,0.018560002366914578,-0.2836632946029859,0.074534287516905,-0.429747813749473,-0.1375787754564988,0.015579786981186557,0.006651157672949602,0.002543757486708105,0.02861581647566501,0.015579786981186557,TRUE,FALSE,FALSE,TRUE,0.029213686249669524,0.029238757721663337,0.020761242278336485,-0.2131248403293449
2021-05-01,4.41,5.17,0.020000000000000462,0.04999999999999982,0.7800000000000002,5.2,4.3,0.9000000000000004,-0.008158289610453881,0.01363203211289541,-0.034876581587822336,0.018560002366914574,-0.28366329460298595,0.07453428751690501,-0.4297478137494731,-0.13757877545649883,0.015579036282016685,0.00665099239178436,0.0025433307326694302,0.028614741831363942,0.015579036282016685,TRUE,FALSE,FALSE,TRUE,-0.008337839279101538,-0.008320321686788104,0.028320321686788566,-0.05842045556344924
2021-06-01,4.23,3.91,-0.17999999999999972,0.020000000000000462,-0.4500000000000002,5.17,4.39,0.7800000000000002,-0.008158289610453881,0.01363203211289541,-0.034876581587822336,0.018560002366914574,-0.28366329460298595,0.074534287516905,-0.429747813749473,-0.13757877545649885,0.015578279202024776,0.006650829209463728,0.002542893484148873,0.02861366491990068,0.015578279202024776,TRUE,FALSE,FALSE,TRUE,-0.0016980151863881677,-0.001680497724934402,-0.17831950227506532,-1.252721314385352
2021-07-01,4.12,3.82,-0.11000000000000032,-0.17999999999999972,-0.7799999999999998,3.91,4.36,-0.4500000000000002,-0.00815828961045388,0.013632032112895412,-0.034876581587822336,0.01856000236691458,-0.2836632946029859,0.07453428751690501,-0.429747813749473,-0.13757877545649877,0.015577556942082559,0.0066506677641610555,0.0025424876511853673,0.02861262623297975,0.015577556942082559,TRUE,FALSE,FALSE,TRUE,0.03587043353491887,0.03589120279414635,-0.14589120279414666,-0.9855308472112837
2021-08-01,4.14,3.62,0.019999999999999574,-0.11000000000000032,-0.9100000000000001,3.82,4.6,-0.7799999999999998,-0.008158289610453878,0.01363203211289541,-0.034876581587822336,0.018560002366914578,-0.2836632946029859,0.07453428751690501,-0.429747813749473,-0.13757877545649877,0.015576818246843241,0.0066505058536950245,0.0025420662946281907,0.028611570199058294,0.015576818246843241,TRUE,FALSE,FALSE,TRUE,0.010877051139429666,0.010894754563336936,0.009105245436662638,-0.01207721660225666
2021-09-01,4.2,3.67,0.0600000000000005,0.019999999999999574,-0.6699999999999999,3.62,4.53,-0.9100000000000001,-0.00815828961045388,0.013632032112895412,-0.034876581587822336,0.01856000236691458,-0.28366329460298595,0.074534287516905,-0.429747813749473,-0.13757877545649885,0.015576081329564798,0.006650343788339677,0.002541647019609369,0.028610515639520225,0.015576081329564798,TRUE,FALSE,FALSE,TRUE,-0.028018960393125562,-0.028005789512417445,0.08800578951241794,0.5033485451454671
2021-10-01,3.89,2.96,-0.31000000000000005,0.0600000000000005,-1.2599999999999998,3.67,4.34,-0.6699999999999999,-0.008158289610453878,0.01363203211289541,-0.034876581587822336,0.018560002366914578,-0.28366329460298595,0.074534287516905,-0.429747813749473,-0.13757877545649885,0.01557536446109526,0.00665018215389959,0.002541246948821064,0.028609481973369457,0.01557536446109526,TRUE,FALSE,FALSE,TRUE,-0.03562609728013303,-0.035613581475567,-0.2743864185244331,-1.6270398534848776
2021-11-01,4.08,2.89,0.18999999999999995,-0.31000000000000005,-1.3599999999999999,2.96,4.22,-1.2599999999999998,-0.008158289610453878,0.01363203211289541,-0.034876581587822336,0.018560002366914578,-0.28366329460298595,0.07453428751690501,-0.4297478137494731,-0.13757877545649883,0.015574601569792134,0.006650020648718538,0.0025408006018561163,0.028608402537728152,0.015574601569792134,TRUE,FALSE,FALSE,TRUE,0.060126392703963354,0.060153333738533696,0.12984666626146624,0.6727959073663659
2021-12-01,4.02,3.07,-0.0600000000000005,0.18999999999999995,-1.0299999999999998,2.89,4.25,-1.3599999999999999,-0.008158289610453878,0.013632032112895414,-0.034876581587822336,0.018560002366914585,-0.28366329460298595,0.07453428751690501,-0.4297478137494731,-0.13757877545649883,0.015573879636352062,0.006649859064277872,0.002540395368100211,0.028607363904603913,0.015573879636352062,TRUE,FALSE,FALSE,TRUE,-0.08324384213563078,-0.08323479189046,0.023234791890459502,0.24021078458409217
