fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,exp12_lag1,shock_inf,alpha_t,se_alpha_t,alpha_li_95,alpha_ls_95,beta_t,se_beta_t,beta_li_95,beta_ls_95,indice_anclaje,ajustado_tvp,residuo_tvp,residuo_estandarizado
2018-05-01,4.31,4.48,4.09,0.020000000000000462,4.42,-0.33000000000000007,0.0140296906123856,0.015148540716351565,-0.015660903610002053,0.04372028483477325,0.06209539328884693,0.022578585755907033,0.017842178385420085,0.10634860819227378,-0.06209539328884693,-0.006461789172933894,0.026461789172934354,0.11825782947974049
2018-06-01,4.35,4.43,3.79,-0.05000000000000071,4.31,-0.5199999999999996,0.01402968767692271,0.015148540441061271,-0.015660906005905882,0.0437202813597513,0.06120218523169168,0.02238480166575491,0.01732878016573986,0.10507559029764349,-0.06120218523169168,-0.017795448643556935,-0.032204551356443775,-0.14277140757167062
2018-07-01,4.26,4.36,2.61,-0.0699999999999994,4.35,-1.7399999999999998,0.014029684840849183,0.015148540204370358,-0.01566090837807374,0.043720278059772105,0.06029510469086766,0.022177631938246668,0.016827744829518966,0.10376246455221635,-0.06029510469086766,-0.09088379732126052,0.020883797321261124,0.5341738059160113
2018-08-01,4.07,4.33,3.36,-0.03000000000000025,4.26,-0.8999999999999999,0.014029681940324295,0.01514853998750507,-0.015660910853550473,0.043720274734199066,0.059418125941539,0.02200380017101465,0.016291470083334016,0.102544781799744,-0.059418125941539,-0.039446631407060805,0.009446631407060556,0.18790709399885433
2018-09-01,4.12,4.32,4.55,-0.009999999999999787,4.07,0.47999999999999954,0.014029679010645307,0.015148539803670404,-0.01566091342292014,0.043720271444210757,0.0585481901178791,0.02182446700068073,0.015773020814761986,0.10132335942099621,-0.0585481901178791,0.04213281026722725,-0.052132810267227034,-0.562968884073543
2018-10-01,4.3,4.32,4.34,0,4.12,0.21999999999999975,0.014029676241858071,0.015148539673781429,-0.015660915937129663,0.0437202684208458,0.057698983659247874,0.02163247538025719,0.015300111017494386,0.10009785630100136,-0.057698983659247874,0.02672345264689259,-0.02672345264689259,-0.33503885790901305
2018-11-01,4.44,4.47,3.15,0.14999999999999947,4.3,-1.15,0.014029673555544494,0.015148539593889518,-0.015660918466857972,0.04372026557794696,0.05685464742391505,0.021423292447715774,0.014865765796123205,0.0988435290517069,-0.05685464742391505,-0.05135317098195781,0.20135317098195726,1.2976530814269533
2018-12-01,4.24,4.38,2.31,-0.08999999999999986,4.44,-2.1300000000000003,0.014029670247816775,0.015148539544034932,-0.015660921676872497,0.04372026217250605,0.05620212944498621,0.021215211940635855,0.014621078116955837,0.09778318077301659,-0.05620212944498621,-0.10568086547000387,0.01568086547000401,0.43494640686641195
2019-01-01,4.03,4.07,4.1,-0.3099999999999996,4.24,-0.14000000000000057,0.014029666891694931,0.015148539510512794,-0.015660924967292156,0.04372025875068202,0.055577279815852955,0.021061375366546453,0.01429774263254284,0.09685681699916307,-0.055577279815852955,0.006248847717475486,-0.3162488477174751,-1.841211484081044
2019-02-01,4.23,4.25,4.46,0.17999999999999972,4.03,0.4299999999999997,0.014029664511577104,0.01514853952178124,-0.015660927369495734,0.04372025639264994,0.05491575345633756,0.02088743881857875,0.013977125642639365,0.09585438127003576,-0.05491575345633756,0.037643438497802245,0.14235656150219747,0.5919714906133765
2019-03-01,4.34,4.35,4.17,0.09999999999999964,4.23,-0.0600000000000005,0.014029661692119888,0.01514853958569684,-0.015660930314225226,0.043720253698465,0.054203518736196096,0.02069727368197445,0.013637607741357465,0.09476942973103472,-0.054203518736196096,0.010777450567948096,0.08922254943205155,0.39514325889536556
2019-04-01,4.32,4.3,4.75,-0.04999999999999982,4.34,0.41000000000000014,0.014029658597304939,0.015148539695556242,-0.015660933624360645,0.04372025081897052,0.053495718667636076,0.020485848992442168,0.013344192449723284,0.09364724488554887,-0.053495718667636076,0.03596290325103574,-0.08596290325103556,-0.6808112377169073
2019-05-01,4.42,4.39,4.54,0.08999999999999986,4.32,0.21999999999999975,0.01402965576778783,0.015148539857568087,-0.015660936771415133,0.04372024830699079,0.05281711494876229,0.02025651766500611,0.013115069873150927,0.09251916002437366,-0.05281711494876229,0.02564942105651552,0.06435057894348434,0.2018450957847707
2019-06-01,4.4,4.36,4.8,-0.02999999999999936,4.42,0.3799999999999999,0.014029652739672617,0.01514854006917355,-0.015660940214269434,0.04372024569361467,0.052126783640157603,0.020005971337811443,0.012915800342306584,0.09133776693800863,-0.052126783640157603,0.0338378305229325,-0.06383783052293186,-0.5427054989380179
2019-07-01,4.57,4.6,4.37,0.23999999999999932,4.4,-0.03000000000000025,0.014029649908573073,0.01514854033234792,-0.015660943561181265,0.04372024337832741,0.05145654767075368,0.019735330241051948,0.012776011175287684,0.09013708416621968,-0.05145654767075368,0.012485953478450449,0.22751404652154888,1.1633835691978085
2019-08-01,4.6,4.53,3.01,-0.0699999999999994,4.57,-1.5600000000000005,0.01402964637532196,0.01514854064189922,-0.015660947701141775,0.0437202404517857,0.05079196579626538,0.019440172311476208,0.012689928212519248,0.08889400338001152,-0.05079196579626538,-0.06520582026685207,-0.00479417973314733,0.20655529640280168
2019-09-01,4.33,4.34,1.8,-0.1900000000000004,4.6,-2.8,0.014029642856866595,0.015148540979130322,-0.01566095188055796,0.043720237594291146,0.05012118847635846,0.019154674399979546,0.012578716516807184,0.08766366043590973,-0.05012118847635846,-0.12630968487693708,-0.0636903151230633,0.13270989573881056
2019-10-01,4.18,4.22,2.17,-0.1200000000000001,4.33,-2.16,0.014029639534971645,0.015148541329621394,-0.015660955889402785,0.04372023495934607,0.049302682395851616,0.018959925010816007,0.012141912225072056,0.08646345256663118,-0.049302682395851616,-0.09246415444006785,-0.027535845559932257,0.1818352791639248
2019-11-01,4.05,4.25,2.92,0.03000000000000025,4.18,-1.2599999999999998,0.014029636298057547,0.015148541701663914,-0.01566095985550682,0.04372023245162192,0.048434905948760536,0.018805822052864178,0.01157617202547765,0.08529363987204341,-0.048434905948760536,-0.04699834519738071,0.07699834519738097,0.5624257996452129
2019-12-01,3.89,4.1,3.41,-0.15000000000000036,4.05,-0.6399999999999997,0.014029632823511934,0.01514854210617738,-0.015660964122884258,0.04372022976990813,0.04764749794602437,0.01864559473268566,0.011102803799630745,0.08419219209241799,-0.04764749794602437,-0.016464765861943648,-0.1335352341380567,-0.7285465580387834
2020-01-01,4.07,4.11,1.78,0.010000000000000675,3.89,-2.1100000000000003,0.014029629761081413,0.015148542550423224,-0.015660968056020637,0.04372022757818346,0.04678929382088599,0.018461768453159465,0.0106048925617757,0.08297369507999627,-0.04678929382088599,-0.08469578020098804,0.09469578020098872,0.8088805491407227
2020-02-01,3.92,3.85,1.24,-0.26000000000000023,4.07,-2.83,0.014029626406401728,0.015148543019100678,-0.01566097232929125,0.043720225142094706,0.04609660825870099,0.018312095365288387,0.010205560861272917,0.08198765565612906,-0.04609660825870099,-0.11642377496572207,-0.14357622503427817,-0.39157154968508845
2020-03-01,3.86,3.99,1.77,0.14000000000000012,3.92,-2.15,0.014029623494825552,0.015148543505813261,-0.01566097619480656,0.04372022318445767,0.04506733162527488,0.0182482396031357,0.009301439221871426,0.08083322402867835,-0.04506733162527488,-0.08286513949951545,0.22286513949951559,1.4857455403641926
2020-04-01,3.55,3.97,1.88,-0.020000000000000018,3.86,-1.98,0.014029619895445208,0.015148544018478137,-0.015660980798991597,0.04372022058988201,0.044434985268383465,0.018220454563401434,0.008723550542168189,0.08014641999459873,-0.044434985268383465,-0.07395165093595404,0.053951650935954026,0.4451800834375659
2020-05-01,3.78,3.96,1.8,-0.010000000000000231,3.55,-1.7499999999999998,0.014029616129559828,0.015148544559768249,-0.0156609856257861,0.04372021788490576,0.04389113081849314,0.01821894748461769,0.008182649912415872,0.07959961172457042,-0.04389113081849314,-0.06277986280280316,0.05277986280280293,0.38752733315962024
2020-06-01,3.5,3.77,2.39,-0.18999999999999995,3.78,-1.3899999999999997,0.014029612200785762,0.015148545132780206,-0.01566099067764297,0.04372021507921449,0.04342379019670039,0.018231907087686548,0.00768990893535422,0.07915767145804656,-0.04342379019670039,-0.046329456172627764,-0.14367054382737218,-0.7377163814648953
2020-07-01,3.49,3.9,2.88,0.1299999999999999,3.5,-0.6200000000000001,0.014029608715406287,0.015148545741456803,-0.01566099535600665,0.04372021278681922,0.04279101885443447,0.018243651920943373,0.007034118142900489,0.07854791956596845,-0.04279101885443447,-0.012500822974343089,0.142500822974343,0.7604792430115065
2020-08-01,3.61,3.92,4.19,0.020000000000000018,3.49,0.7000000000000002,0.014029604790242203,0.015148546392344314,-0.015661000556886812,0.04372021013737122,0.042231435985349335,0.018232598060691024,0.006496200441800097,0.07796667152889858,-0.042231435985349335,0.04359160997998675,-0.02359160997998673,-0.33669149099252255
2020-09-01,3.81,3.99,4.97,0.07000000000000028,3.61,1.3599999999999999,0.01402960093788631,0.015148547094635362,-0.015661005785707866,0.043720207661480485,0.04168553321541338,0.01820232885400472,0.006009624226809895,0.07736144220401686,-0.04168553321541338,0.0707219261108485,-7.219261108482172e-4,-0.28145128379150364
2020-10-01,4.19,4.15,5.34,0.16000000000000014,3.81,1.5299999999999998,0.014029597087758415,0.015148547851839389,-0.015661011119928382,0.043720205295445215,0.041140443772652684,0.01817371023071425,0.005520626254985644,0.07676026129031972,-0.041140443772652684,0.07697447605991702,0.08302552394008313,0.16213400847367743
2020-11-01,4.49,4.27,5.46,0.11999999999999922,4.19,1.2699999999999996,0.014029592981397982,0.015148548664084056,-0.015661016818259113,0.043720202781055074,0.04049012502999779,0.018153629444443112,0.004909665130203432,0.07607058492979216,-0.04049012502999779,0.06545205176949516,0.05454794823050406,0.02560241403662041
2020-12-01,4.49,4.26,4.82,-0.009999999999999787,4.49,0.33000000000000007,0.014029588706692216,0.015148549529308258,-0.015661022788773148,0.04372020020215758,0.03978241899082831,0.018130213813042372,0.004247852885254665,0.07531698509640194,-0.03978241899082831,0.02715778697366556,-0.03715778697366535,-0.35808914782031703
2021-01-01,4.33,4.12,5.24,-0.13999999999999968,4.49,0.75,0.014029584546662442,0.015148550442750491,-0.015661028739116803,0.04372019783244169,0.039084870698988146,0.018079476230358462,0.003649748428137589,0.0745199929698387,-0.039084870698988146,0.04334323757090355,-0.18334323757090323,-1.207666713709491
2021-02-01,4.56,4.39,6,0.2699999999999996,4.33,1.67,0.014029580952464735,0.015148551405944845,-0.015661034221140756,0.04372019612607023,0.03850123186496067,0.018008206406343267,0.003205795882364401,0.07379666784755694,-0.03850123186496067,0.07832663816694904,0.19167336183305053,0.7530484695345235
2021-03-01,4.6,4.34,5.84,-0.04999999999999982,4.56,1.2800000000000002,0.014029576766726616,0.015148552421882087,-0.01566104039807928,0.04372019393153251,0.03765243068260492,0.017949728220210476,0.0024716098387101496,0.07283325152649969,-0.03765243068260492,0.06222468804046092,-0.11222468804046073,-0.891425881363077
2021-04-01,4.54,4.39,5.2,0.04999999999999982,4.6,0.6000000000000005,0.014029572927335202,0.015148553488726523,-0.015661046328447364,0.04372019218311777,0.036922625401253815,0.017885850786960002,0.001867002025954835,0.07197824877655279,-0.036922625401253815,0.036183148168087514,0.013816851831912308,-0.085630527587071
2021-05-01,4.54,4.41,5.17,0.020000000000000462,4.54,0.6299999999999999,0.014029569045302361,0.015148554604097838,-0.01566105239656781,0.04372019048717253,0.03618595269409873,0.01779653644113335,0.0013053822199227405,0.07106652316827472,-0.03618595269409873,0.03682671924258456,-0.016826719242584096,-0.2583612060710386
2021-06-01,4.28,4.23,3.91,-0.17999999999999972,4.54,-0.6299999999999999,0.014029565215199971,0.015148555767919309,-0.015661058507718366,0.04372018893811831,0.03545806158637709,0.017681744883623965,8.02478430648762e-4,0.07011364474210542,-0.03545806158637709,-0.008309013584217593,-0.17169098641578212,-0.9474364993942664
