fecha,infl_suby
2012-02-01,4.4
2012-03-01,4.25
2012-04-01,4.11
2012-05-01,3.98
2012-06-01,3.85
2012-07-01,3.56
2012-08-01,3.53
2012-09-01,3.66
2012-10-01,3.74
2012-11-01,3.73
2012-12-01,3.73
2013-01-01,3.7626765235522726
2013-02-01,3.8911975821684877
2013-03-01,3.8992765197782546
2013-04-01,3.803991380118063
2013-05-01,3.8346427235316014
2013-06-01,3.92211663871808
2013-07-01,3.8522231504687596
2013-08-01,3.6474726902425516
2013-09-01,3.518330409086687
2013-10-01,3.481304107570466
2013-11-01,3.5819250551065522
2013-12-01,3.557348491794272
2014-01-01,3.443551333576906
2014-02-01,3.2272727272727195
2014-03-01,3.1651293181407
2014-04-01,3.14107771459517
2014-05-01,3.0444964871194458
2014-06-01,2.931420887494383
2014-07-01,2.985341437254192
2014-08-01,3.143979992854611
2014-09-01,3.2024977698483497
2014-10-01,3.2395870416518306
2014-11-01,3.147721227167935
2014-12-01,3.1872509960159334
2015-01-01,3.1611479028697715
2015-02-01,3.205636283575501
2015-03-01,3.120617110799458
2015-04-01,3.1504331845628997
2015-05-01,3.199300699300693
2015-06-01,3.24856296812402
2015-07-01,3.2980385349765697
2015-08-01,3.238656044336679
2015-09-01,3.1463393551732963
2015-10-01,3.1379310344827616
2015-11-01,3.1462219547837975
2015-12-01,3.1574431574431685
2016-01-01,3.149875888042459
2016-02-01,3.199931734789658
2016-03-01,3.2811968718122984
2016-04-01,3.2323746500381816
2016-05-01,3.3118753176350992
2016-06-01,3.2307043441585677
2016-07-01,3.2095446143505484
2016-08-01,3.086730414360005
2016-09-01,3.0000838012234965
2016-10-01,3.042460715479777
2016-11-01,3.0919243270272574
2016-12-01,3.0940696997421497
2017-01-01,3.211351755041065
2017-02-01,3.1503224739540343
2017-03-01,3.1275720164609027
2017-04-01,3.0736357659434645
2017-05-01,2.935147987209973
2017-06-01,2.9743422127798596
2017-07-01,2.889938130901996
2017-08-01,2.7664768104149715
2017-09-01,2.8557481083719978
2017-10-01,2.9120700843608063
2017-11-01,2.9183508488278136
2017-12-01,2.9205324727712707
2018-01-01,2.669239427560697
2018-02-01,2.6212424849699545
2018-03-01,2.6656025538706984
2018-04-01,2.6231860947217456
2018-05-01,2.6284348864993916
2018-06-01,2.6027614664339183
2018-07-01,2.626790094153037
2018-08-01,2.7949326999208353
2018-09-01,2.8160101249802096
2018-10-01,2.86119650035468
2018-11-01,2.937711098892464
2018-12-01,2.9630790938308422
2019-01-01,2.944400939702433
2019-02-01,2.976097484768019
2019-03-01,2.8917910447761415
2019-04-01,2.9834511692953214
2019-05-01,2.995731470702381
2019-06-01,3.0549110595514293
2019-07-01,3.145478374836159
2019-08-01,3.096356774243219
2019-09-01,2.9543006616402607
2019-10-01,3.0114942528735753
2019-11-01,3.075162151850435
2019-12-01,3.121431290445372
2020-01-01,2.5635174197474555
2020-02-01,2.412197527118238
2020-03-01,2.4478694469628266
2020-04-01,2.353828743870224
2020-05-01,2.275638610504089
2020-06-01,2.1313320825516087
2020-07-01,2.033036848792875
2020-08-01,2.0620097123646133
2020-09-01,2.0998356000597767
2020-10-01,2.2093282749386276
2020-11-01,2.2579212318625963
2020-12-01,2.3329641934293193
2021-01-01,2.69
2021-02-01,2.71
2021-03-01,2.79
2021-04-01,2.84
2021-05-01,2.89
2021-06-01,3.05
2021-07-01,3.09
2021-08-01,3.18
2021-09-01,3.3
2021-10-01,3.17
2021-11-01,3.11
2021-12-01,3.2
2022-01-01,3.29
2022-02-01,3.37
2022-03-01,3.47
2022-04-01,3.71
2022-05-01,4.12
2022-06-01,4.34
2022-07-01,4.6
2022-08-01,4.85
2022-09-01,4.92
2022-10-01,5.09
2022-11-01,5.03
2022-12-01,5.04
2023-01-01,5.24
2023-02-01,5.36
2023-03-01,5.08
2023-04-01,4.99
2023-05-01,4.69
2023-06-01,4.32
2023-07-01,4.21
2023-08-01,4.19
2023-09-01,4.17
2023-10-01,4.12
2023-11-01,4.05
2023-12-01,3.87
2024-01-01,3.76
2024-02-01,3.71
2024-03-01,3.65
2024-04-01,3.63
2024-05-01,3.67
2024-06-01,3.61
2024-07-01,3.66
2024-08-01,3.48
2024-09-01,3.55
2024-10-01,3.62
2024-11-01,3.65
2024-12-01,3.73
2025-01-01,3.98
2025-02-01,3.92
2025-03-01,3.87
2025-04-01,3.82
2025-05-01,3.87
2025-06-01,3.86
2025-07-01,3.76
2025-08-01,3.69
2025-09-01,3.76
2025-10-01,3.58
2025-11-01,3.56
2025-12-01,3.53
2026-01-01,3.42
2026-02-01,3.54
2026-03-01,3.68
2026-04-01,3.79
2026-05-01,3.76
2026-06-01,3.74
