indice_modelo,fecha,residuo_estandarizado,abs_residuo,z_robusto,abs_z_robusto,p_bilateral_normal,umbral_bonferroni,criterio_clasico,criterio_robusto,criterio_bonferroni,candidato_formal,JB_sin_observacion,reduccion_JB_al_excluir,ranking
53,2014-09-01,-1.1508546669572455,1.1508546669572455,-1.209431908254136,1.209431908254136,0.24979203040351303,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.990003974009846,-0.1424556389528897,29
162,2023-10-01,1.149382965715956,1.149382965715956,1.8175683565962468,1.8175683565962468,0.25039810092309583,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.556084477892467,-0.708536142835511,30
58,2015-02-01,1.1485523342178514,1.1485523342178514,1.816475286154723,1.816475286154723,0.25074062144669024,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.555453086646333,-0.7079047515893766,31
122,2020-06-01,-1.1402837564739534,1.1402837564739534,-1.1955211068751288,1.1955211068751288,0.2541681028777373,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.97963264196146,-0.13208430690450346,32
68,2015-12-01,1.1364000420000482,1.1364000420000482,1.8004834637276288,1.8004834637276288,0.25578917823175656,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.546105042431385,-0.6985567073744292,33
27,2012-07-01,-1.1232522035976453,1.1232522035976453,-1.173108415970892,1.173108415970892,0.2613303969959483,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.963065832031094,-0.11551749697413793,34
119,2020-03-01,1.1223689954096638,1.1223689954096638,1.7820192923994418,1.7820192923994418,0.2617055814494119,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.535061400021801,-0.6875130649648451,35
100,2018-08-01,1.0856217934116175,1.0856217934116175,1.7336617711587656,1.7336617711587656,0.2776463538173381,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.5049518672686615,-0.6574035322117053,36
84,2017-04-01,1.0665391842090919,1.0665391842090919,1.7085499904063777,1.7085499904063777,0.2861799754030639,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.488691911228373,-0.6411435761714168,37
139,2021-11-01,1.0618435692988342,1.0618435692988342,1.7023707907553975,1.7023707907553975,0.2883067067056489,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.484630171220966,-0.6370818361640103,38
111,2019-07-01,1.0533797701170462,1.0533797701170462,1.6912328448314633,1.6912328448314633,0.2921669720682498,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.477250858140378,-0.6297025230834219,39
175,2024-11-01,-1.051040766923414,1.051040766923414,-1.078081695760207,1.078081695760207,0.29323986674401203,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.895015125082824,-0.047466790025867844,40
26,2012-06-01,-1.0324689326807335,1.0324689326807335,-1.0536420698829365,1.0536420698829365,0.3018524941886886,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.878147680287973,-0.030599345231016706,41
95,2018-03-01,1.0124976171625066,1.0124976171625066,1.6374339302918253,1.6374339302918253,0.31130018543506555,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.440628967016371,-0.5930806319594151,42
159,2023-07-01,0.9865166904911246,0.9865166904911246,1.603244301012551,1.603244301012551,0.32387962905747464,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.416599896015696,-0.5690515609587399,43
163,2023-11-01,0.9830095305044596,0.9830095305044596,1.598629049936874,1.598629049936874,0.3256027480722384,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.4133159543028535,-0.5657676192458974,44
63,2015-07-01,-0.9756394359650068,0.9756394359650068,-0.9788572306270447,0.9788572306270447,0.3292431746509092,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.828344521114338,0.019203813942618275,45
143,2022-03-01,-0.9756069265310545,0.9756069265310545,-0.9788144498013656,0.9788144498013656,0.3292592907493267,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.828316853384755,0.019231481672201234,46
72,2016-04-01,0.9719947318186115,0.9719947318186115,1.5841341133852154,1.5841341133852154,0.331053169424052,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.402944046286758,-0.555395711229802,47
91,2017-11-01,0.9588224321702332,0.9588224321702332,1.5668000110481486,1.5668000110481486,0.33764820647288113,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.390430232399294,-0.5428818973423377,48
155,2023-03-01,-0.9305575735209363,0.9305575735209363,-0.9195317037250433,0.9195317037250433,0.35208246946575816,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.79093777983508,0.056610555221876524,49
