fecha,ipc,ipc_sa,infl_interanual_base,infl_interanual_ipc,infl_mensual_sa,infl_mensual_sa_anualizada,infl_3m_sa_anualizada,infl_subyacente,exp_inf_24m,meta_inflacion
2012-10-01,61.94911,61.98162337717562,3.35,3.293014471840472,0.06488670210238467,0.7786404252286161,5.132391201846076,3.74,4.76,4.5
2012-11-01,61.9434411,61.95759308331556,3.11,3.066584843094766,-0.03877754732917182,-0.4653305679500619,2.771058068643839,3.73,4.82,4.5
2012-12-01,62.2779028,62.36516506515444,3.45,3.388271869386994,0.6556698838484643,7.868038606181571,2.7271161544867084,3.73,4.93,4.5
2013-01-01,62.5840203,62.618707460725304,3.86,3.7844848634885686,0.4057207353910464,4.868648824692556,4.090452287641355,3.76,4.83,4
2013-02-01,63.0942161,63.12291665967419,4.18,4.0990471327168265,0.8019808952245633,9.62377074269476,7.453486057856296,3.89,4.61,4
2013-03-01,63.3946648,63.39106588512668,4.34,4.247019654526163,0.42390512353200904,5.0868614823841085,6.526427016590475,3.9,4.66,4
2013-04-01,63.5023728,63.50879075979484,4.13,4.044266936395591,0.1855398604112324,2.2264783249347886,5.645703516671219,3.8,4.93,4
2013-05-01,63.6724381,63.75927803723632,4.27,4.1816672092077845,0.3936377808702929,4.723653370443515,4.012331059254137,3.83,4.83,4
2013-06-01,64.069257,64.04265696711882,4.79,4.682342088027092,0.4434665160422568,5.321598192507082,4.090576629295128,3.92,5.21,4
2013-07-01,64.2619977,64.09183454683746,4.74,4.6310003683702305,0.07675931991801832,0.9211118390162198,3.655454467322272,3.85,4.81,4
2013-08-01,64.3526992,64.24640615771835,4.42,4.320326359891524,0.2408817274926811,2.8905807299121733,3.044430253811825,3.65,4.89,4
2013-09-01,64.539771,64.54947830540469,4.21,4.124295828940205,0.4706248314364281,5.647497977237137,3.15306351538851,3.52,4.91,4
2013-10-01,64.5227644,64.55662853421195,4.15,4.070485642100508,0.01107651526268682,0.1329181831522419,2.890332296767184,3.48,4.71,4
2013-11-01,64.8118754,64.82668272363307,4.63,4.526712053533188,0.417448864103509,5.009386369242108,3.5966008432104957,3.58,4.7,4
2013-12-01,65.0102849,65.10137571172704,4.39,4.293881394219223,0.4228392245344992,5.07407069441399,3.40545841560278,3.56,5.19,4
2014-01-01,65.1746813,65.21080433323814,4.14,4.056109114905215,0.16794845607703834,2.01538147292446,4.032946178860186,3.44,4.94,4
2014-02-01,65.3050647,65.33477093968888,3.5,3.4440490859433126,0.18992086626266055,2.279050395151927,3.1228341874967924,3.23,4.68,4
2014-03-01,65.4524546,65.44873886440773,3.25,3.1944288607718363,0.17428489836053274,2.091418780326393,2.128616882800926,3.17,4.54,4
2014-04-01,65.5771691,65.5837967521047,3.27,3.2150331230997864,0.20614412273918248,2.4737294728701897,2.281399549449503,3.14,4.66,4
2014-05-01,65.724559,65.81419773143168,3.22,3.172087476252816,0.35069213402332267,4.208305608279872,2.9244846204921515,3.04,4.28,4
2014-06-01,66.0760273,66.04859410378175,3.13,3.0841368960842885,0.3555159358737292,4.2661912304847505,3.6494087705449374,2.93,4.36,4
2014-07-01,66.4558397,66.27986734255468,3.41,3.3569221438616736,0.34954456769540343,4.194534812344841,4.223010550369821,2.99,4.41,4
2014-08-01,66.733613,66.62338733990494,3.7,3.6329890241030505,0.5169486077340579,6.203383292808695,4.888036445212762,3.14,4.06,4
2014-09-01,66.767626,66.7776683928794,3.45,3.3936683917416666,0.23130419907504415,2.77565038890053,4.391189498018022,3.2,4.13,4
2014-10-01,66.8696652,66.90476108186584,3.64,3.5727331355455583,0.19014125906657853,2.2816951087989423,3.7535762635027226,3.24,4.17,4
2014-11-01,67.0000486,67.01535584727418,3.38,3.3204495850421623,0.165165313600113,1.981983763201356,2.346443086966943,3.15,4.16,4
2014-12-01,66.9263536,67.02012916004763,2.95,2.904732821809919,0.0071224613022558,0.0854695356270696,1.4497161358757893,3.19,4.21,4
2015-01-01,66.6882622,66.72522413466534,2.32,2.2957888529126613,-0.4409955128202192,-5.2919461538426305,-1.0748309516714016,3.16,3.89,4
2015-02-01,66.8980094,66.92844024500528,2.44,2.409961806872918,0.3040938202229171,3.649125842675005,-0.5191169251801853,3.21,4.07,4
2015-03-01,67.0397305,67.03592465476112,2.43,2.396144108726972,0.16046720021458682,1.925606402575042,0.09426203046913884,3.12,4.11,4
2015-04-01,67.2664842,67.2732825851957,2.58,2.5434503300348688,0.3534503440470793,4.241404128564952,3.272045457938333,3.15,3.82,4
2015-05-01,67.4025364,67.49446364835431,2.55,2.520998843981648,0.32824064797010166,3.93888777564122,3.368632768927071,3.2,3.57,4
2015-06-01,67.6519655,67.6238780116938,2.39,2.3570400295503724,0.19155712144245385,2.298685457309446,3.4929924538385393,3.25,3.67,4
2015-07-01,67.9977648,67.81770948767702,2.32,2.29371716360669,0.286221701751721,3.434660421020652,3.224077884657106,3.3,3.56,4
2015-08-01,68.0431156,67.93072700009108,1.96,1.9432788177224936,0.1665102618498615,1.998123142198338,2.5771563401761455,3.24,3.31,4
2015-09-01,68.0204402,68.0306710263037,1.88,1.8589928836333591,0.14701826498590975,1.764219179830917,2.399000914349969,3.15,3.4,4
2015-10-01,68.3605708,68.39644916891223,2.23,2.2050778800881687,0.5362262555213881,6.434715066256658,3.3990191294286376,3.14,3.28,4
