fecha,residuo_inflacion,residuo_expectativa
2018-09-01,1.89005810310716,-0.0664680598849284
2018-10-01,-0.251188738320014,-1.18185737972602
2018-11-01,-1.97082529573237,0.125544923591864
2018-12-01,-1.66932914594436,0.591442972810996
2019-01-01,2.6387721581394,-0.264569937807456
2019-02-01,0.704778401233251,-0.613673856690701
2019-03-01,-0.346755762401718,-0.425164103699523
2019-04-01,1.04812180417107,-0.394381300812832
2019-05-01,-0.145773844886206,-0.27725154526507
2019-06-01,0.586025101049089,-0.256371572363549
2019-07-01,-0.525193684358988,0.815812193182917
2019-08-01,-2.27648485429626,0.350746996955317
2019-09-01,-2.38424093673059,0.546748347717835
2019-10-01,0.0592323367267923,0.943185571853607
2019-11-01,0.822112480414343,0.6130955429781
2019-12-01,0.568989332520866,-0.923755522020133
2020-01-01,-2.90387416967399,-0.809407603554922
2020-02-01,-1.45748568382603,-0.666803708888208
2020-03-01,0.314311023234104,0.916044593511314
2020-04-01,-0.29325000828724,-0.0034570927309578
2020-05-01,-0.572297620339815,-0.1106113385517
2020-06-01,0.564864583582839,-0.96333699569648
2020-07-01,0.572016737627415,-0.260071979796767
2020-08-01,2.075540372153,-0.583559966720185
2020-09-01,1.48346252686376,-0.95292759066989
2020-10-01,0.926335937879599,-0.398225783341394
2020-11-01,0.533875965339168,-0.080659449124513
2020-12-01,-0.755707061342717,-0.309920929304306
2021-01-01,0.922480403935082,-0.512466460149975
