fecha,exp_inf_24m,infl_gt,meta_inflacion,tcdep,exp_gap_24,infl_gap,exp_gap_24_lag1,infl_gap_lag1,tcdep_lag1
2011-09-01,6.43,7.249315624049487,5,-2.721799441743622,1.4299999999999997,2.249315624049487,0.9500000000000002,2.625826131164203,-2.3582111473118506
2011-10-01,6.51,6.65,5,-2.7417968737782683,1.5099999999999998,1.6500000000000004,1.4299999999999997,2.249315624049487,-2.721799441743622
2011-11-01,6.06,6.054843875100062,5,-2.4861809933248047,1.0599999999999996,1.0548438751000617,1.5099999999999998,1.6500000000000004,-2.7417968737782683
2011-12-01,5.62,6.200000000000003,5,-2.1707398257526656,0.6200000000000001,1.2000000000000028,1.0599999999999996,1.0548438751000617,-2.4861809933248047
2012-01-01,5.95,5.44,4.5,-1.9475378177473248,1.4500000000000002,0.9400000000000004,0.6200000000000001,1.2000000000000028,-2.1707398257526656
2012-02-01,6.11,5.17,4.5,-0.4193889351610913,1.6100000000000003,0.6699999999999999,1.4500000000000002,0.9400000000000004,-1.9475378177473248
2012-03-01,5.47,4.55,4.5,0.2751083594490833,0.9699999999999998,0.04999999999999982,1.6100000000000003,0.6699999999999999,-0.4193889351610913
2012-04-01,5.54,4.27,4.5,1.4690261080928746,1.04,-0.23000000000000043,0.9699999999999998,0.04999999999999982,0.2751083594490833
2012-05-01,5.28,3.9,4.5,1.758975848010058,0.7800000000000002,-0.6000000000000001,1.04,-0.23000000000000043,1.4690261080928746
2012-06-01,5.11,3.47,4.5,0.7030484807434956,0.6100000000000003,-1.0299999999999998,0.7800000000000002,-0.6000000000000001,1.758975848010058
2012-07-01,4.9,2.86,4.5,0.8033596003837129,0.40000000000000036,-1.6400000000000001,0.6100000000000003,-1.0299999999999998,0.7030484807434956
2012-08-01,4.55,2.71,4.5,0.5776012411997211,0.04999999999999982,-1.79,0.40000000000000036,-1.6400000000000001,0.8033596003837129
2012-09-01,5.17,3.28,4.5,1.495842065938824,0.6699999999999999,-1.2200000000000002,0.04999999999999982,-1.79,0.5776012411997211
2012-10-01,4.76,3.35,4.5,0.3829512465901797,0.2599999999999998,-1.15,0.6699999999999999,-1.2200000000000002,1.495842065938824
2012-11-01,4.82,3.11,4.5,0.6239522797343078,0.3200000000000003,-1.3900000000000001,0.2599999999999998,-1.15,0.3829512465901797
2012-12-01,4.93,3.45,4.5,1.124291717247594,0.4299999999999997,-1.0499999999999998,0.3200000000000003,-1.3900000000000001,0.6239522797343078
2013-01-01,4.83,3.86,4,0.960151598797987,0.8300000000000001,-0.14000000000000012,0.4299999999999997,-1.0499999999999998,1.124291717247594
2013-02-01,4.61,4.18,4,0.602948698016581,0.6100000000000003,0.17999999999999972,0.8300000000000001,-0.14000000000000012,0.960151598797987
