fecha_fin,estimate,std.error,statistic,p.value,ic_inf,ic_sup
2018-12-01,0.3407132314973066,0.03547069865745185,9.605484086672421,1.3499913494433562e-13,0.27119066212870097,0.4102358008659122
2019-01-01,0.32483840364505706,0.034183173427513994,9.502874399121616,1.9836619215488553e-13,0.25783938372712967,0.39183742356298445
2019-02-01,0.32090459878595423,0.03376437414340602,9.504236548943258,1.9735405839320672e-13,0.25472642546487845,0.38708277210703
2019-03-01,0.32051881559691986,0.03286556793030843,9.752419805328826,7.794104175445762e-14,0.25610230245351534,0.3849353287403244
2019-04-01,0.32557611200704856,0.03091537863320124,10.531202475954785,4.402280995049226e-15,0.2649819698859741,0.386170254128123
2019-05-01,0.32422131410881755,0.030535128152926177,10.617977841293175,3.2093241073138366e-15,0.26437246292908223,0.38407016528855287
2019-06-01,0.32583500424061584,0.02992453964517964,10.888555282858048,1.204608679343177e-15,0.26718290653606375,0.38448710194516794
2019-07-01,0.3320973688734349,0.028772759451151264,11.542075741370954,1.1714293080959183e-16,0.2757027603491784,0.38849197739769137
2019-08-01,0.33313788759726565,0.028794785790218175,11.56938238833627,1.063950441009148e-16,0.27670010744843804,0.38957566774609326
2019-09-01,0.32708671583694016,0.029403853908298336,11.123940312621059,5.172455735489825e-16,0.2694551621766754,0.3847182694972049
2019-10-01,0.3039516267871952,0.03037277721237365,10.007370240195469,3.020466285103318e-14,0.24442098345094282,0.3634822701234475
2019-11-01,0.2898383955418414,0.030876560151255745,9.387004061398132,3.06704990834501e-13,0.22932033764538012,0.35035645343830263
2019-12-01,0.2888540328316494,0.030749257263113894,9.39385398352864,2.9889440913072113e-13,0.22858548859594618,0.3491225770673526
2020-01-01,0.28738515245736884,0.030825758917866663,9.322889769659488,3.9054335595752576e-13,0.2269666649783502,0.3478036399363875
2020-02-01,0.2873174676193154,0.0302044497984244,9.512421829789568,1.9138059323165783e-13,0.2281167460144036,0.3465181892242273
2020-03-01,0.2736770525400655,0.02979290021829911,9.185982248615401,6.550915127448947e-13,0.21528296811219927,0.3320711369679318
2020-04-01,0.2644126882135221,0.029581866327287605,8.93833692871556,1.6763642838512784e-12,0.20643223021203838,0.3223931462150058
2020-05-01,0.2526539544888509,0.02865031343410499,8.818540679142961,2.6455702396270927e-12,0.19649934015800513,0.3088085688196967
2020-06-01,0.24783529023038658,0.027809083737014385,8.91202646495373,1.852879799636055e-12,0.1933294861058384,0.3023410943549348
2020-07-01,0.24148532059578093,0.02719397322975022,8.88010437296437,2.092330567765387e-12,0.1881851330654705,0.29478550812609133
2020-08-01,0.23079387166257043,0.025692776411900303,8.982831125859642,1.4154463366166247e-12,0.18043602989524582,0.28115171342989503
2020-09-01,0.21560227729758952,0.025845223764585656,8.342054967735196,1.6401636001583576e-11,0.16494563871900164,0.2662589158761774
2020-10-01,0.19054559549483358,0.02498140893985427,7.6274959492314816,2.5842304358926176e-10,0.1415820339727192,0.23950915701694794
2020-11-01,0.16739987766647807,0.023184144434384626,7.220446634994462,1.2491802681167188e-9,0.12195895457508421,0.21284080075787193
2020-12-01,0.15052532750543235,0.022425607574424265,6.712207328424938,8.90647119506891e-9,0.10657113665956079,0.1944795183513039
2021-01-01,0.14075857401622838,0.022111878214622686,6.365744811453606,3.375269440766258e-8,0.09741929271556792,0.18409785531688883
2021-02-01,0.14055470834120387,0.021411173355715754,6.5645495464489585,1.5729241997148023e-8,0.09858880856400098,0.18252060811840676
2021-03-01,0.13432587311731253,0.020329456737794873,6.607450206359169,1.333518793253727e-8,0.09448013791123458,0.1741716083233905
2021-04-01,0.13021780466187366,0.01986544553721282,6.554990393643274,1.63184631194176e-8,0.09128153140893654,0.1691540779148108
2021-05-01,0.1292104315608034,0.019507292177529143,6.623698993427882,1.252641463197241e-8,0.09097613889284627,0.1674447242287605
2021-06-01,0.12527984172213863,0.019706864233064447,6.3571677482784095,3.488074731203542e-8,0.08665438782533232,0.16390529561894496
2021-07-01,0.12535663404221267,0.019941144549274897,6.286330944166939,4.57507321394854e-8,0.08627199072563388,0.16444127735879147
2021-08-01,0.12531069460195685,0.020119755686931938,6.228241363951944,5.713027835731971e-8,0.08587597345557024,0.16474541574834345
2021-09-01,0.12557873624622756,0.020209445145751577,6.213863633590489,6.03562372309342e-8,0.08596822376055446,0.16518924873190066
2021-10-01,0.1267324740961324,0.02106140341931901,6.017285342907605,1.276353515692868e-7,0.08545212339426714,0.16801282479799765
2021-11-01,0.12588129197027464,0.020864940466257764,6.0331488687373245,1.2016875819547706e-7,0.08498600865640943,0.16677657528413986
2021-12-01,0.12508127423635138,0.02050342720625828,6.100505685126275,9.300287552963083e-8,0.08489455691208514,0.1652679915606176
2022-01-01,0.1257442982160043,0.020446944791325684,6.149784209783237,7.707928154963821e-8,0.08566828642500596,0.16582031000700265
2022-02-01,0.12885189322760204,0.020411695260747903,6.312650251808668,4.136631351006435e-8,0.08884497051653616,0.16885881593866792
2022-03-01,0.13286656998241092,0.020990207493194326,6.3299312322420045,3.8717392228055244e-8,0.09172576329575005,0.1740073766690718
