fecha_inicio,fecha_fin,beta,se_beta,p_beta,rho,se_rho,p_rho,r2_ajustado,beta_ic_inf,beta_ic_sup,rho_ic_inf,rho_ic_sup,velocidad_ajuste,vida_media,multiplicador_lp,rho_ic_incluye_uno
2011-12-01,2016-01-01,0.22001692578225224,0.0800204477033473,0.008444054940968755,0.5809517039069327,0.11042021578780432,3.459232571221843e-6,0.795293975640688,0.06317684828369152,0.37685700328081295,0.3645280809628363,0.7973753268510292,0.41904829609306726,1.276308122242538,0.5250395427771606,FALSE
2012-01-01,2016-02-01,0.2301256284558922,0.08098722003148558,0.006620106084894412,0.5958601898829838,0.09881710140248033,2.4250696269720564e-7,0.8120519844483101,0.07139067719418049,0.3888605797176039,0.4021786711341224,0.7895417086318453,0.40413981011701616,1.3387701102369536,0.5694208357975443,FALSE
2012-02-01,2016-03-01,0.1420612665841926,0.05586187483054091,0.014339102964975871,0.6990233354395197,0.06877515325476204,1.8901793047338454e-13,0.8157998383610041,0.03257199191633242,0.2515505412520528,0.5642240350601861,0.8338226358188532,0.30097666456048033,1.9357805682648224,0.47200093333363996,FALSE
2012-03-01,2016-04-01,0.13544665363959724,0.052117924560762224,0.01245650414658441,0.6847418395651147,0.06472116382549346,5.032459732596253e-14,0.8007831435656707,0.03329552150050327,0.2375977857786912,0.5578883584671475,0.8115953206630819,0.3152581604348853,1.8302684879082405,0.42963726443354966,FALSE
2012-04-01,2016-05-01,0.12438164729902061,0.04741273063432713,0.011702279217454608,0.737156899840513,0.056484382478653256,3.066115189089103e-17,0.8070721815499587,0.03145269525573943,0.2173105993423018,0.6264475101823527,0.8478662894986734,0.262843100159487,2.2729526407171887,0.47321633028810256,FALSE
2012-05-01,2016-06-01,0.1300898829086264,0.04554891466035663,0.00636772190374675,0.7207957988291243,0.05400663939709049,1.3315705938581459e-17,0.8006393689640534,0.040814010174327384,0.21936575564292538,0.6149427856108269,0.8266488120474216,0.27920420117087574,2.1171302636591234,0.4659309650896338,FALSE
2012-06-01,2016-07-01,0.12381383359322404,0.042785341943297965,0.005753057632497033,0.7331142954797498,0.05358017003276167,5.229697093650713e-18,0.7971353466589854,0.03995456338436003,0.20767310380208803,0.6280971622155369,0.8381314287439627,0.2668857045202502,2.232691276842245,0.4639208151511523,FALSE
2012-07-01,2016-08-01,0.11887569682478813,0.041131482673451174,0.0058106886540579316,0.7395949731748452,0.05420918472259343,5.8279755496658565e-18,0.795454030130054,0.038257990784823837,0.19949340286475242,0.6333449711185621,0.8458449752311283,0.26040502682515476,2.2978327894742137,0.4565030801214353,FALSE
2012-08-01,2016-09-01,0.1083144835447116,0.04075349369271578,0.010714509927567216,0.752428460666044,0.0550986457533149,5.627390609549679e-18,0.794406503391953,0.028437635906988668,0.18819133118243453,0.6444351149895468,0.8604218063425412,0.24757153933395604,2.436803481962869,0.43750781627044466,FALSE
2012-09-01,2016-10-01,0.09148275726383284,0.04588029341444587,0.05197837547397676,0.7745065828353567,0.05835720210656465,1.6416261011989946e-17,0.7974337148255914,0.001557382171518934,0.18140813235614675,0.66012646670649,0.8888866989642233,0.22549341716464333,2.7125956579143207,0.4057003455539325,FALSE
2012-10-01,2016-11-01,0.13166522435331057,0.04044562635647231,0.0021033347710001015,0.73968322723953694,0.05867882268617568,1.0978662039307626e-16,0.840678930881866,0.05239179669462485,0.2109386520119963,0.6246727347746326,0.8546937197044413,0.26031677276046306,2.298742070358614,0.5057884782340384,FALSE
