fecha_inicio,fecha_fin,ventana,n_obs,estimate,std.error,statistic,p.value,ic_inf,ic_sup,r_squared,adj_r_squared
2012-04-01,2015-03-01,36,36,0.2704238542178159,0.07812774045758956,3.461303918863637,0.0015460703662739331,0.11729629672744751,0.4235514117081843,0.6848245067551765,0.6552768042634742
2012-05-01,2015-04-01,36,36,0.2930166655981497,0.07668108964728693,3.8212376342844134,5.7712262538133e-4,0.14272449159418016,0.44330883960211925,0.7034367406487859,0.6756339350846097
2012-06-01,2015-05-01,36,36,0.26170445627162026,0.06893429630691333,3.796433274758391,6.18241504115956e-4,0.1265957182104577,0.39681319433278284,0.6944816967312798,0.6658393557998372
2012-07-01,2015-06-01,36,36,0.2276258621081828,0.0647507855020017,3.515414683288221,0.0013358063859299357,0.10071665455358123,0.35453506966278436,0.7136875751066238,0.6868457852728698
2012-08-01,2015-07-01,36,36,0.21675213218557252,0.06412839477291238,3.3799712740841583,0.0019231863495127541,0.09106278804429763,0.3424414763268474,0.7403974496857145,0.7160597105937503
2012-09-01,2015-08-01,36,36,0.17056876283719818,0.06987857567795792,2.4409307313772475,0.020363539099750798,0.03360927121744409,0.3075282544569523,0.7644625617337247,0.7423809268962615
2012-10-01,2015-09-01,36,36,0.22259185731259146,0.07474242639619327,2.9781192295347845,0.005492664898052082,0.07609939345891681,0.3690843211662661,0.8351115496164233,0.819653257392963
2012-11-01,2015-10-01,36,36,0.18006263876025513,0.09051320615723588,1.9893521222467538,0.05526727073903955,0.0026600145668237984,0.35746526295368647,0.8562868629096718,0.8428137563074536
2012-12-01,2015-11-01,36,36,0.1753831252967154,0.094500544509006,1.8558953941265515,0.07269835197922764,-0.00983453846036067,0.36060078905379145,0.8678228764583901,0.8554312711263641
2013-01-01,2015-12-01,36,36,0.21285448897720252,0.08935526493265418,2.382114687227753,0.02332643259492901,0.03772138788016552,0.38798759007423955,0.8766278764414914,0.8650617398578813
2013-02-01,2016-01-01,36,36,0.28094322606727334,0.0767520440910429,3.660400571664513,8.996865096545215e-4,0.130511983908999,0.4313744682255477,0.9002125677565664,0.8908574959837445
2013-03-01,2016-02-01,36,36,0.22853882941589962,0.05699944633744624,4.0094920933601985,3.410138174744949e-4,0.11682196745578152,0.34025569137601774,0.8980264431011011,0.8884664221418294
2013-04-01,2016-03-01,36,36,0.1836321997793518,0.06444277655452343,2.8495389180505772,0.0075961115131669464,0.05732667866872371,0.3099377208899799,0.8856563687485207,0.8749366533186945
2013-05-01,2016-04-01,36,36,0.17258676933537728,0.054310629018677545,3.177771505390304,0.003281911724485283,0.06613989248105338,0.27903364618970117,0.8845315088183209,0.8737063377700385
2013-06-01,2016-05-01,36,36,0.1631887475189531,0.05144964724942404,3.1718147012325715,0.0033333642972057467,0.062349291892791744,0.26402820314511444,0.8773984060807206,0.8659045066507882
2013-07-01,2016-06-01,36,36,0.1718185386561907,0.04435529023393291,3.8736876198984986,4.987598216134608e-4,0.08488376727386103,0.25875331003852037,0.8855730684525523,0.8748455436199791
2013-08-01,2016-07-01,36,36,0.17020606902711652,0.04060649210837461,4.191597456211036,2.0384109328380862e-4,0.09061880695619237,0.24979333109804067,0.8896151924144078,0.8792666167032586
2013-09-01,2016-08-01,36,36,0.16063899217608438,0.03738784815851344,4.296556236534996,1.5120123361957638e-4,0.08736015632594588,0.23391782802622288,0.8831326861898992,0.8721763755202022
2013-10-01,2016-09-01,36,36,0.14823179307054962,0.034976815237071746,4.238001432258461,1.786529948738912e-4,0.07967849491197722,0.21678509122912204,0.8741520757337496,0.8623538328337886
2013-11-01,2016-10-01,36,36,0.14285550786614012,0.032971962878439426,4.3326358334448525,1.3640148882468862e-4,0.07823164812480725,0.207479367607473,0.8705551176494912,0.858419659929131
2013-12-01,2016-11-01,36,36,0.15124294637138747,0.029964563758815007,5.047393567573453,1.7314011006907216e-5,0.09251348059165593,0.209972412151119,0.8678174289707165,0.8554253129367211
2014-01-01,2016-12-01,36,36,0.14516698520436097,0.02677690953892353,5.4213495023890985,5.829726585684162e-6,0.09268520689078384,0.1976487635179381,0.8889096560216379,0.8784949362736664
2014-02-01,2017-01-01,36,36,0.14393223286959658,0.029363639043868437,4.901716461456496,2.6437000614278635e-5,0.08638055788858032,0.20148390785061285,0.8715403644298141,0.8594972735951092
2014-03-01,2017-02-01,36,36,0.1410429972934489,0.029374083370760345,4.80161356911809,3.534202499346017e-5,0.08347085180788173,0.1986151427790161,0.8652389768763531,0.8526051309585112
2014-04-01,2017-03-01,36,36,0.14223247829514313,0.03286331795805883,4.328001161558445,1.3821957902042967e-4,0.07782155868485945,0.2066433979054268,0.8584437134696191,0.8451728116073959
2014-05-01,2017-04-01,36,36,0.17970141245383614,0.03262949904529978,5.507329800079226,4.5387859422995054e-6,0.11574876949146451,0.24365405541620777,0.8689115099725886,0.8566219640325188
2014-06-01,2017-05-01,36,36,0.16016704904496754,0.04123359473029128,3.8843823851065946,4.841062068898228e-4,0.07935068842047609,0.24098340966945897,0.852913531111497,0.8391241746531999
2014-07-01,2017-06-01,36,36,0.17900514123953531,0.03950048127849654,4.531720511896218,7.706387464808245e-5,0.10158562056168344,0.2564246619173872,0.8601765102623753,0.8470680580994729
2014-08-01,2017-07-01,36,36,0.2217421413587588,0.04809288792787252,4.610705468370237,6.137851402126748e-5,0.12748181310760753,0.3160024696099101,0.8756910958339361,0.8640371360683676
2014-09-01,2017-08-01,36,36,0.19156674650106323,0.04121167999396358,4.648360526169346,5.5058014164758613e-5,0.11079333797050477,0.2723401550316217,0.8792744687288256,0.8679564501721531
2014-10-01,2017-09-01,36,36,0.1987966953441274,0.04092896139252831,4.857115562683647,3.0089422135809103e-5,0.11857740509014159,0.2790159855981132,0.882017756350737,0.8709569210086185
2014-11-01,2017-10-01,36,36,0.2035779153120407,0.042062878098002764,4.8398474977799255,3.1634578961065825e-5,0.12113618915385665,0.28601964147022474,0.8853161414516811,0.8745645297127762
2014-12-01,2017-11-01,36,36,0.19810380478451037,0.03913157402808044,5.062505398897396,1.6569599792468506e-5,0.12140732903110975,0.274800280537911,0.8848422093199935,0.8740461664437429
2015-01-01,2017-12-01,36,36,0.19927886006696596,0.040393293301899405,4.933464042596282,2.4109223415376242e-5,0.12010945997828015,0.27844826015565177,0.8889848977048804,0.8785772318647129
2015-02-01,2018-01-01,36,36,0.18243795897887682,0.043043425608516414,4.238462817484962,1.784186036296641e-4,0.09807439501495561,0.266801522942798,0.8972971813507085,0.8876687921023374
2015-03-01,2018-02-01,36,36,0.2077322312350886,0.035256857535898294,5.891966719483637,1.4842773118083664e-6,0.13863006025666835,0.27683440221350886,0.9126841340664356,0.9044982716351639
2015-04-01,2018-03-01,36,36,0.2314789476203139,0.03262986587549415,7.094082105748416,4.773739534014375e-8,0.16752558568397286,0.29543230955665495,0.9215895367192862,0.9142385557867193
2015-05-01,2018-04-01,36,36,0.2298169786042016,0.03821403004418342,6.013942479724988,1.0425108664965968e-6,0.15491885601347055,0.30471510119493267,0.9207881233091219,0.913362009869352
2015-06-01,2018-05-01,36,36,0.20511926419165027,0.03623550912616335,5.660725325466636,2.9048708906599043e-6,0.13409897134289767,0.2761395570404029,0.9174613786631104,0.909723382912777
2015-07-01,2018-06-01,36,36,0.20579760325937185,0.035621034097488145,5.777417991183021,2.069500554663845e-6,0.13598165933622186,0.27561354718252185,0.9143432597936111,0.9063129403992621
2015-08-01,2018-07-01,36,36,0.19818167107796061,0.035116687755709856,5.643518331131242,3.0539092909930743e-6,0.1293542278204306,0.2670091143354906,0.9077207162469566,0.8990695333951088
2015-09-01,2018-08-01,36,36,0.1446571626002262,0.035767938122640994,4.044324895223935,3.0917042539814146e-4,0.07455329207859268,0.21476103312185973,0.895380375041845,0.8855722852020179
