fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,lambda_se,lambda_li_95,lambda_ls_95,pi_estrella_t,pi_estrella_se,pi_estrella_li_95,pi_estrella_ls_95,expectativa,inflacion,meta_inflacion
2015-11-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245584,0.03013575643809402,0.8967556276466296,0.7081123575922417,0.07570093207191764,0.5597412571351701,0.8564834580493133,4.365959239911693,0.18746618322506226,3.9985322724713845,4.733386207352002,3.37,2.51,4
2015-12-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245545,0.030135756438093995,0.8967556276466297,0.7081123575922416,0.07570093207191637,0.5597412571351724,0.8564834580493107,4.365959239911693,0.18746618322497605,3.9985322724715537,4.733386207351833,3.65,3.07,4
2016-01-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724555,0.030135756438094,0.89675562764663,0.7081123575922409,0.07570093207191678,0.559741257135171,0.8564834580493108,4.365959239911708,0.18746618322496228,3.9985322724715955,4.733386207351821,3.8,4.38,4
2016-02-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245556,0.03013575643809397,0.8967556276466299,0.7081123575922414,0.07570093207191457,0.5597412571351759,0.856483458049307,4.3659592399116995,0.18746618322470424,3.9985322724720924,4.733386207351306,4.09,4.27,4
2016-03-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724553,0.030135756438094016,0.89675562764663,0.7081123575922408,0.0757009320719148,0.5597412571351748,0.8564834580493068,4.365959239911706,0.18746618322476583,3.998532272471978,4.733386207351433,3.99,4.26,4
2016-04-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245523,0.030135756438093998,0.8967556276466299,0.7081123575922412,0.07570093207191629,0.5597412571351722,0.8564834580493103,4.365959239911697,0.18746618322505654,3.998532272471399,4.733386207351995,4.19,4.09,4
2016-05-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245495,0.03013575643809395,0.8967556276466297,0.708112357592242,0.07570093207191747,0.5597412571351708,0.8564834580493133,4.3659592399116836,0.18746618322494807,3.9985322724715986,4.733386207351769,4.16,4.36,4
2016-06-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245534,0.03013575643809394,0.8967556276466297,0.7081123575922421,0.0757009320719174,0.559741257135171,0.8564834580493133,4.365959239911688,0.187466183225129,3.998532272471248,4.733386207352128,4.39,4.43,4
2016-07-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.319189237172455,0.030135756438093884,0.8967556276466297,0.7081123575922427,0.0757009320719162,0.5597412571351739,0.8564834580493115,4.365959239911681,0.1874661832249944,3.998532272471505,4.733386207351857,4.41,4.62,4
2016-08-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245534,0.030135756438093936,0.8967556276466297,0.7081123575922421,0.07570093207191574,0.5597412571351742,0.85648345804931,4.365959239911688,0.18746618322506112,3.9985322724713814,4.733386207351995,4.45,4.74,4
2016-09-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724548,0.030135756438093807,0.8967556276466299,0.7081123575922431,0.07570093207191406,0.5597412571351785,0.8564834580493077,4.36595923991168,0.18746618322485054,3.998532272471786,4.733386207351574,4.42,4.56,4
2016-10-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245484,0.030135756438093807,0.8967556276466297,0.7081123575922434,0.07570093207191375,0.5597412571351794,0.8564834580493075,4.365959239911674,0.18746618322484143,3.998532272471798,4.73338620735155,4.43,4.76,4
2016-11-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245484,0.03013575643809378,0.8967556276466297,0.7081123575922437,0.07570093207191383,0.5597412571351795,0.8564834580493078,4.365959239911672,0.18746618322479328,3.9985322724718904,4.733386207351454,4.6,4.67,4
2016-12-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245484,0.03013575643809376,0.8967556276466297,0.7081123575922439,0.07570093207191401,0.5597412571351794,0.8564834580493084,4.365959239911671,0.18746618322486128,3.9985322724717562,4.733386207351586,4.66,4.23,4
2017-01-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724549,0.03013575643809382,0.8967556276466297,0.7081123575922432,0.07570093207191292,0.5597412571351809,0.8564834580493056,4.365959239911676,0.18746618322488462,3.998532272471715,4.733386207351636,4.4,3.83,4
2017-02-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.319189237172455,0.030135756438093745,0.8967556276466297,0.708112357592244,0.07570093207191438,0.5597412571351787,0.8564834580493093,4.365959239911672,0.18746618322512945,3.9985322724712313,4.733386207352113,4.46,3.96,4
