fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,pi_estrella_t,inflacion,expectativa,meta_inflacion
2015-06-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248493,0.0301357564380961,0.8967556276466212,0.7081123575922453,4.365959239911712,2.39,3.67,4
2015-07-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248526,0.030135756438096184,0.8967556276466211,0.7081123575922449,4.365959239911715,2.32,3.56,4
2015-08-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724853,0.030135756438096163,0.8967556276466209,0.7081123575922457,4.3659592399117,1.96,3.31,4
2015-09-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724856,0.030135756438096156,0.8967556276466209,0.7081123575922458,4.365959239911704,1.88,3.4,4
2015-10-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724854,0.03013575643809607,0.8967556276466209,0.7081123575922466,4.365959239911696,2.23,3.28,4
2015-11-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248493,0.03013575643809601,0.896755627646621,0.7081123575922468,4.365959239911693,2.51,3.37,4
2015-12-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248526,0.030135756438095948,0.896755627646621,0.7081123575922474,4.365959239911694,3.07,3.65,4
2016-01-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724849,0.030135756438095858,0.896755627646621,0.7081123575922483,4.365959239911683,4.38,3.8,4
2016-02-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724848,0.030135756438095865,0.896755627646621,0.7081123575922483,4.365959239911683,4.27,4.09,4
2016-03-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724844,0.030135756438095785,0.8967556276466212,0.7081123575922483,4.365959239911685,4.26,3.99,4
2016-04-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724845,0.03013575643809581,0.8967556276466211,0.7081123575922486,4.365959239911682,4.09,4.19,4
2016-05-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724842,0.03013575643809578,0.8967556276466213,0.7081123575922481,4.36595923991169,4.36,4.16,4
2016-06-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724843,0.030135756438095802,0.8967556276466212,0.7081123575922482,4.365959239911685,4.43,4.39,4
2016-07-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248443,0.030135756438095754,0.8967556276466212,0.7081123575922488,4.365959239911684,4.62,4.41,4
2016-08-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724845,0.030135756438095768,0.8967556276466212,0.7081123575922486,4.365959239911686,4.74,4.45,4
2016-09-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248443,0.030135756438095695,0.8967556276466212,0.7081123575922492,4.365959239911681,4.56,4.42,4
2016-10-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724842,0.03013575643809567,0.8967556276466213,0.7081123575922492,4.365959239911683,4.76,4.43,4
2016-11-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248426,0.03013575643809572,0.8967556276466213,0.7081123575922488,4.365959239911686,4.67,4.6,4
2016-12-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248443,0.030135756438095736,0.8967556276466213,0.7081123575922486,4.36595923991169,4.23,4.66,4
2017-01-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724845,0.030135756438095723,0.8967556276466213,0.7081123575922488,4.36595923991169,3.83,4.4,4
2017-02-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724844,0.03013575643809568,0.8967556276466212,0.7081123575922494,4.365959239911679,3.96,4.46,4
2017-03-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248443,0.03013575643809572,0.8967556276466212,0.708112357592249,4.365959239911682,4,4.28,4
2017-04-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248454,0.03013575643809571,0.8967556276466212,0.7081123575922492,4.3659592399116836,4.09,4.51,4
2017-05-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724845,0.030135756438095657,0.8967556276466212,0.7081123575922497,4.365959239911679,3.93,4.17,4
2017-06-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248476,0.03013575643809574,0.8967556276466211,0.7081123575922492,4.365959239911682,4.36,4.26,4
2017-07-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724846,0.03013575643809574,0.8967556276466211,0.7081123575922492,4.365959239911679,5.22,4.48,4
2017-08-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724846,0.030135756438095792,0.8967556276466211,0.7081123575922487,4.365959239911683,4.72,4.51,4
2017-09-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724849,0.03013575643809581,0.8967556276466209,0.7081123575922491,4.365959239911674,4.36,4.75,4
2017-10-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724848,0.030135756438095792,0.8967556276466209,0.7081123575922492,4.365959239911672,4.2,4.53,4
2017-11-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248493,0.03013575643809584,0.8967556276466209,0.7081123575922488,4.3659592399116764,4.69,4.63,4
2017-12-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724848,0.030135756438095837,0.8967556276466209,0.7081123575922488,4.365959239911675,5.68,4.56,4
2018-01-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724844,0.030135756438095813,0.8967556276466209,0.7081123575922491,4.365959239911667,4.71,4.71,4
2018-02-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724843,0.03013575643809575,0.896755627646621,0.7081123575922494,4.365959239911669,4.15,4.56,4
2018-03-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724838,0.03013575643809572,0.8967556276466211,0.7081123575922494,4.365959239911667,4.14,4.62,4
2018-04-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248393,0.03013575643809575,0.8967556276466209,0.7081123575922497,4.365959239911658,3.92,4.46,4
2018-05-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248365,0.03013575643809572,0.8967556276466209,0.70811235759225,4.365959239911652,4.09,4.48,4
2018-06-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248404,0.030135756438095705,0.8967556276466209,0.7081123575922501,4.365959239911657,3.79,4.43,4
2018-07-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248393,0.030135756438095698,0.8967556276466208,0.7081123575922506,4.365959239911648,2.61,4.36,4
2018-08-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248404,0.030135756438095726,0.8967556276466208,0.7081123575922502,4.365959239911651,3.36,4.33,4
2018-09-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248415,0.030135756438095736,0.8967556276466206,0.7081123575922504,4.365959239911646,4.55,4.32,4
2018-10-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.319189237172484,0.030135756438095747,0.8967556276466205,0.7081123575922507,4.365959239911637,4.34,4.32,4
2018-11-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724845,0.030135756438095816,0.8967556276466206,0.7081123575922497,4.365959239911656,3.15,4.47,4
2018-12-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724848,0.030135756438095854,0.8967556276466205,0.7081123575922497,4.365959239911656,2.31,4.38,4
2019-01-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248476,0.030135756438095858,0.8967556276466204,0.7081123575922499,4.365959239911648,4.1,4.07,4
2019-02-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248465,0.030135756438095882,0.8967556276466204,0.7081123575922497,4.365959239911648,4.46,4.25,4
2019-03-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724846,0.030135756438095882,0.8967556276466205,0.7081123575922493,4.365959239911654,4.17,4.35,4
2019-04-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248443,0.030135756438095858,0.8967556276466204,0.7081123575922499,4.365959239911644,4.75,4.3,4
2019-05-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248443,0.030135756438095844,0.8967556276466204,0.7081123575922501,4.365959239911644,4.54,4.39,4
2019-06-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248404,0.030135756438095785,0.8967556276466206,0.70811235759225,4.365959239911647,4.8,4.36,4
2019-07-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248393,0.030135756438095757,0.8967556276466206,0.7081123575922503,4.3659592399116445,4.37,4.6,4
2019-08-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724841,0.0301357564380958,0.8967556276466205,0.7081123575922501,4.365959239911643,3.01,4.53,4
2019-09-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724844,0.030135756438095868,0.8967556276466204,0.7081123575922499,4.365959239911644,1.8,4.34,4
2019-10-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248443,0.030135756438095854,0.8967556276466204,0.7081123575922499,4.365959239911644,2.17,4.22,4
2019-11-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724846,0.030135756438095792,0.8967556276466204,0.7081123575922506,4.365959239911643,2.92,4.25,4
2019-12-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248443,0.030135756438095795,0.8967556276466204,0.7081123575922506,4.36595923991164,3.41,4.1,4
2020-01-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724843,0.030135756438095816,0.8967556276466204,0.7081123575922503,4.365959239911641,1.78,4.11,4
2020-02-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248454,0.030135756438095858,0.8967556276466204,0.7081123575922499,4.365959239911645,1.24,3.85,4
2020-03-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248493,0.03013575643809585,0.8967556276466202,0.7081123575922506,4.365959239911637,1.77,3.99,4
2020-04-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.319189237172485,0.03013575643809591,0.8967556276466202,0.7081123575922501,4.365959239911641,1.88,3.97,4
2020-05-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248493,0.030135756438095875,0.8967556276466203,0.7081123575922501,4.365959239911645,1.8,3.96,4
2020-06-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248493,0.030135756438095882,0.8967556276466203,0.70811235759225,4.365959239911645,2.39,3.77,4
2020-07-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724852,0.030135756438095875,0.8967556276466203,0.7081123575922501,4.365959239911649,2.88,3.9,4
2020-08-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724852,0.03013575643809588,0.8967556276466202,0.7081123575922503,4.365959239911643,4.19,3.92,4
2020-09-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724853,0.030135756438095854,0.8967556276466204,0.7081123575922499,4.365959239911656,4.97,3.99,4
